time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,current_speed,dist_to_next_station,time_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,1.57,2487.9,155.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は完全に確保され、制限速度内で加速開始は定時到達に必須。速度不足を補うための力行は適切で、ノッチ切替はまだ発生していないため快適性も良好。効率面でも過剰加速はなく、必要速度へ向かう正しい操作。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,4.58,2487.0,154.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.6,安全は問題なしだが、必要平均速度58km/hに対し加速保持が1秒と短く、効率と快適性が低下している。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,7.44,2485.4,153.5,0.0,0.0,この先制限速度なし,485m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で速度超過なし、必要平均速度58km/hに対し加速開始は適切。ノッチ保持2秒でハンチングなし、快適性も良好。効率的に定時到達を狙えるため高評価。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,10.15,2482.9,152.5,0.0,0.0,この先制限速度なし,482m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は制限速度を大幅に下回り問題なし。残距離・時間から必要平均速度≈58km/hで、現在10km/hのため加速は妥当。ノッチ切替は1回のみで快適性も高く、運転者の加速後惰行志向に合致。総合的に見て運転操作は適切であると判断できる。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,12.71,2479.7,151.5,0.0,0.0,この先制限速度なし,479m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は問題なく、速度は制限内で定時到達に向けた加速。保持時間4秒でハンチングなし。効率・快適性とも高評価。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,15.14,2475.9,150.5,0.0,0.0,この先制限速度なし,475m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は制限速度内で問題なし、必要平均速度≈59km/hに対し加速中で定時性確保。ノッチ保持5秒でハンチングなし、乗り心地良好。運転者好みの加速開始と合致。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,17.45,2471.3,149.5,0.0,0.0,この先制限速度なし,471m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全面で速度超過なし、必要平均速度≈60km/hに対し加速中で適切。ノッチ切替は少なく快適性も良好。効率的に速度上げるため妥当。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,19.63,2466.2,148.5,0.0,0.0,この先制限速度なし,466m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全に制限内で加速中。残距離・残時刻から平均≈60km/h必要で、7秒の力行は妥当。ノッチ切替は少なく快適性も高く、運転者好みの加速→惰行戦略に合致。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,21.7,2460.4,147.5,0.0,0.0,この先制限速度なし,460m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で速度超過なし、前方列車不在で停止距離問題なし。残距離・時間から平均60km/h必要で、現在の8秒間の加速は妥当。ノッチ切替が少なく快適性も高く、運転者の加速後惰行志向に合致。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,23.65,2454.1,146.5,0.0,0.0,この先制限速度なし,454m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全に制限速度以下で走行し、次駅到達に必要な平均約60km/hに向け加速中。加速保持時間9秒でノッチ切替は少なく快適性も高く、運転手の加速後惰行志向にも合致。
10.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,10.0,なし（または停止）,0.0,70.0,25.51,2447.3,145.5,0.0,0.0,この先制限速度なし,447m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全に制限内で加速中。必要平均速度60.5km/hに向けて加速は妥当。ノッチ切替は少なく快適で、運転者好みと合致。
11.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,11.0,なし（または停止）,0.0,70.0,27.26,2440.0,144.5,0.0,0.0,この先制限速度なし,439m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全に制限速度内で加速中。残距離と残時間から必要平均速度は約60km/hで、現在の加速はそれに向けて適切。ノッチ切替は少なく快適性も高く、運転者の加速後惰行志向と合致。ハンチングもなく効率的な操作。
12.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,12.0,なし（または停止）,0.0,70.0,28.93,2432.2,143.5,0.0,0.0,この先制限速度なし,432m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は制限内で確保。残距離・残時から必要平均速度≈61km/hで、現在28.9km/hは不足。12秒間の連続加速はハンチングなく快適で、運転手の加速後惰行志向にも合致。
13.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,13.0,なし（または停止）,0.0,70.0,30.5,2423.9,142.5,0.0,0.0,この先制限速度なし,423m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で制限速度70km/hを大きく下回り超過なし。残距離2423.9m・残時142.5sから必要平均速度≈61km/hで、現在30.5km/hは加速継続が妥当。ノッチ切替は1回だけで快適性高く、運転者の加速後惰行方針にも合致。
14.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,14.0,なし（または停止）,0.0,70.0,31.99,2415.2,141.5,0.0,0.0,この先制限速度なし,415m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全に制限速度以下で走行し、定時到着に必要な平均61.5km/hを満たすため加速は適切。ノッチ保持14秒でハンチングなし、快適性も高い。
15.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,15.0,なし（または停止）,0.0,70.0,33.4,2406.2,140.5,0.0,0.0,この先制限速度なし,406m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全に制限速度以下で走行し、必要平均速度61.7km/hに達すべく加速中。保持時間15秒でノコギリ運転なし、効率・快適性ともに好適。
16.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,16.0,なし（または停止）,0.0,70.0,34.74,2396.7,139.5,0.0,0.0,この先制限速度なし,396m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面は制限速度内で前方列車なし、減速不要。残距離・時間から平均61.9km/h必要で、現在加速中は速度到達に向かうため効率的。ノッチ切替は1回のみで快適性も高く、運転者の加速後惰行志向に合致。
17.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,17.0,なし（または停止）,0.0,70.0,36.0,2386.9,138.5,0.0,0.0,この先制限速度なし,386m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は制限内で問題なし。残距離・残時から62km/hが必要で、加速中は適切。ノッチ切替はなく快適性も高く、運転手の加速後惰行志向に合致。
18.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,18.0,なし（または停止）,0.0,70.0,37.2,2376.7,137.5,0.0,0.0,この先制限速度なし,376m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,安全に制限内で走行し、残距離・時間から必要な平均速度62km/hを満たすため加速は適切。ノッチ保持は長く快適性も高く、運転手の好みと合致。
19.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,19.0,なし（または停止）,0.0,70.0,38.33,2366.2,136.5,0.0,0.0,この先制限速度なし,366m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は制限速度内で確保。残距離・残時刻から必要平均速度≈62km/hで、現在38km/hの加速は妥当。ノッチ保持19秒と切替少なく快適性高く、運転者好みの加速・惰行への移行に合致。
20.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,20.0,なし（または停止）,0.0,70.0,39.4,2355.4,135.5,0.0,0.0,この先制限速度なし,355m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は制限内で問題なし。残距離・残時から必要平均速度は62.6km/hで、現在39.4km/hは加速不足。20秒間の連続力行は適切でハンチングもなく快適性も高い。したがって操作は概ね適切。
21.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,21.0,なし（または停止）,0.0,70.0,40.42,2344.3,134.5,0.0,0.0,この先制限速度なし,344m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面は制限速度を大幅に下回り問題なし。残距離・残時間から平均62.8km/h必要で、加速は必須。21秒の連続加速はノッチ切替少なく快適性も高く、無駄なエネルギー消費もない。
22.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,22.0,なし（または停止）,0.0,70.0,41.38,2333.0,133.5,0.0,0.0,この先制限速度なし,332m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は制限内で問題なし、必要平均速度62.9km/hに対し加速中で効率的、ノッチ切替少なく快適、ハンチングも無く評価高い。
23.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,23.0,なし（または停止）,0.0,70.0,42.28,2321.3,132.5,0.0,0.0,この先制限速度なし,321m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面では制限速度70km/hを大きく下回り超過リスクなし。残距離・残時間から平均63km/hが必要で、現在42km/hのため加速は適切。加速は23秒間の単一ノッチ保持で切替回数少なく乗り心地も良好。
24.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,24.0,なし（または停止）,0.0,70.0,43.16,2309.5,131.5,0.0,0.0,この先制限速度なし,309m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は制限速度内で問題なし。残距離・時間から必要平均速度は約63km/hで、現在43km/hと遅いため加速は適切。ノッチ切替は少なく快適で、運転者の好みと合致。
25.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,25.0,なし（または停止）,0.0,70.0,44.03,2297.4,130.5,0.0,0.0,この先制限速度なし,297m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面では速度制限内で前方列車なし、減速不要。残距離・残時から必要平均速度≈63km/hで、現在44km/hのため加速は必須。25秒の連続力行はハンチングなく快適。効率的に定時到達を狙える操作と評価し、0.9とする。
26.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,26.0,なし（または停止）,0.0,70.0,44.88,2285.0,129.5,0.0,0.0,この先制限速度なし,285m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は確保され速度は制限内。定時に必要な平均63.5km/hに対し44.9km/hと遅く、加速継続は適切。ノッチ切替少なく快適。
27.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,27.0,なし（または停止）,0.0,70.0,45.71,2272.4,128.5,0.0,0.0,この先制限速度なし,272m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全面では制限速度未超過で停止距離問題なし。残距離・時間から平均63.6km/h必要で、45.7km/hから加速は妥当。加速継続27秒はノッチ切替少なく快適。運転者好みの加速→惰行戦略に合致。余裕を持った減速計画も不要で、エネルギー効率も良好。総合評価は高く0.8。
28.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,28.0,なし（または停止）,0.0,70.0,46.54,2259.6,127.5,0.0,0.0,この先制限速度なし,259m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全面では制限速度を守り減速距離も確保。残距離・残時から必要平均速度≈64km/hで、現在46.5km/hは不足。加速継続は定時回復に必要で、ノッチ切替は少なく快適性も良好。効率はやや過剰だが許容範囲。
29.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,29.0,なし（または停止）,0.0,70.0,47.34,2246.6,126.5,0.0,0.0,この先制限速度なし,246m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で制限超過なし、必要平均速度64km/hに対し現在47km/hで加速は必須。加速継続29秒はノッチ切替少なく快適。効率的に遅延回避できて好みと合致。
30.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,30.0,なし（または停止）,0.0,70.0,48.14,2233.3,125.5,0.0,0.0,この先制限速度なし,233m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面では制限速度70km/hを下回り超過なし。残距離・残時間から必要平均速度≈64km/hで、現在48km/hの加速は速度不足解消に適切。加速保持30秒でノッチ切替は少なく快適性も高く、運転者の加速後惰行志向と合致。ハンチングもなく評価は高い。
31.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,31.0,なし（または停止）,0.0,70.0,48.92,2219.8,124.5,0.0,0.0,この先制限速度なし,219m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は制限内で問題なし。残距離・時間から必要平均速度≈64km/hで、現在48.9km/hなので加速は妥当。加速保持31秒でノコギリ運転なし、快適性も良好。運転者好みと合致し高評価。
32.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,32.0,なし（または停止）,0.0,70.0,49.69,2206.1,123.5,0.0,0.0,この先制限速度なし,206m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で速度超過なし、前方列車不在。残距離・時間から平均64km/h必要で、現在49.7km/hの加速は妥当。ノッチ保持32秒でハンチングなし、乗り心地良好。運転者好みの加速と惰行バランスも適切。
33.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,33.0,なし（または停止）,0.0,70.0,50.44,2192.2,122.5,0.0,0.0,この先制限速度なし,192m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は確保、速度は制限内で定時に必要な64km/hに未達のため加速は妥当。操作は長時間同一ノッチで快適、ハンチングなし。
34.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,34.0,なし（または停止）,0.0,70.0,51.19,2178.1,121.5,0.0,0.0,この先制限速度なし,178m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で制限速度70km/h未満、前方列車なし、停止距離確保。効率面は残距離2178m・残時121.5sから必要平均≈64.5km/hで、現在51.2km/hのため加速継続は適切。快適面はノッチ切替少なくハンチングなし。運転者の加速後惰行志向に合致。
35.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,35.0,なし（または停止）,0.0,70.0,51.92,2163.8,120.5,0.0,0.0,この先制限速度なし,163m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は確保され速度は制限内、必要平均速度64.7km/hに達すべく加速中。操作は長時間で切替少なく快適。ドライバー好みと合致し評価は高い。停止距離の余裕も確保でき、無駄なエネルギー消費は最小。
36.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,36.0,なし（または停止）,0.0,70.0,52.63,2149.3,119.5,0.0,0.0,この先制限速度なし,149m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面では制限速度を守り前方列車もなく問題なし。残距離・残時間から必要平均速度≈65km/hで、現在52.6km/hと不足しているため、36秒の加速は妥当。ノッチ切替は少なく快適性も高く、運転者の好みと合致。
37.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,37.0,なし（または停止）,0.0,70.0,53.34,2134.6,118.5,0.0,0.0,この先制限速度なし,134m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全面では制限速度未超過で問題なし。残距離・残時刻から必要平均速度≈65km/hで、現在53.3km/hは不足しているため加速は妥当。加速継続時間が長くノコギリ運転もなく快適性も良好。効率はやや余分だが全体的に適切。
38.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,38.0,なし（または停止）,0.0,70.0,54.03,2119.6,117.5,0.0,0.0,この先制限速度なし,119m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は制限速度内で問題なし。残距離・時間から平均65km/hが必要で、現在54km/hの加速は妥当。先行列車なしで減速不要。加速継続38秒はノッチ切替がなくスムーズで乗客への不快感も少ない。
39.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,39.0,なし（または停止）,0.0,70.0,54.72,2104.5,116.5,0.0,0.0,この先制限速度なし,104m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で速度超過なく、次駅到達に必要な平均65km/hを考慮すると加速は妥当。長時間の力行でノッチ切替少なく快適性も高く、運転者の惰行志向と合致。さらに先行列車不在で減速不要、遅延0秒で三要素を満たす。
40.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,40.0,なし（または停止）,0.0,70.0,55.39,2089.3,115.5,0.0,0.0,この先制限速度なし,89m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は確保され速度は制限内。残距離・残時から平均65km/h必要で、55km/hでは不足。40秒の加速は必要速度へ上げる妥当な操作で、ノッチ切替は少なく快適性も良好。運転好みの惰行活用前段階として適切。
41.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,41.0,なし（または停止）,0.0,70.0,56.05,2073.8,114.5,0.0,0.0,この先制限速度なし,73m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面では制限速度以下で前方列車もなく問題なし。残距離・残時間から必要平均速度は約65km/hで、現在56km/hと遅れているため加速は妥当。加速継続時間41秒でノッチ切替は少なく快適性も高く、運転者の加速後惰行志向にも合致する。
