time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,4.0,惰行,10.0,70.0,0.0,1.0,70.0,800.0,60.0,0.053731928280769094,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 45.0m 先を 0.0km/h で走行中,後続列車なし,0.1,ブレーキが早すぎて停止位置が大幅に前倒しとなり、必要速度70km/hに達せず定時到着が不可能で省エネ性も低く評価し0.1とした。
1,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,12.0,惰行,10.0,70.0,0.0,1.0,70.0,800.0,60.0,0.053731928280769094,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 45.0m 先を 0.0km/h で走行中,後続列車なし,0.1,巡航フェーズで必要速度70km/hに対し1km/hのまま減速しており、定時到達が不可能でエネルギー無駄になるため低評価。
2,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,4.0,惰行,10.0,70.0,0.0,1.0,70.0,500.0,40.0,0.053731928280769094,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 45.0m 先を 0.0km/h で走行中,後続列車なし,0.1,巡航フェーズで必要速度70km/hに対し1km/hのままブレーキし、停止位置が遠く早すぎる減速と先行列車45mの間隔不足で安全性と定時性が著しく低下したため。
3,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,12.0,惰行,10.0,70.0,0.0,1.0,70.0,500.0,40.0,0.053731928280769094,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 45.0m 先を 0.0km/h で走行中,後続列車なし,0.1,巡航フェーズで必要速度70km/hに対し減速しており、停止位置達成が不可能でエネルギー無駄となるため低評価。
4,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,4.0,惰行,10.0,70.0,0.0,1.0,70.0,300.0,25.0,0.053731928280769094,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 45.0m 先を 0.0km/h で走行中,後続列車なし,0.1,ブレーキ開始が早すぎて停止位置が大幅に手前となり、定時性とエネルギー効率が著しく低下しているためrewardを0.1とした。
5,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,12.0,惰行,10.0,70.0,0.0,1.0,70.0,300.0,25.0,0.053731928280769094,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 45.0m 先を 0.0km/h で走行中,後続列車なし,0.1,ブレーキを過度に早くかけたため停止位置が大幅に手前になり、先行列車との安全間隔も不足している。
6,Train11,巡航フェーズ（駅間走行中）,惰行中,4.0,力行（加速）,10.0,70.0,0.0,8.0,70.0,800.0,60.0,3.4330224744536846,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 45.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号が0km/hなのにブレーキせず8km/hで走行し信号超過となり即0点と判定した。安全上重大な違反であるため。
7,Train11,巡航フェーズ（駅間走行中）,惰行中,12.0,力行（加速）,10.0,70.0,0.0,8.0,70.0,800.0,60.0,3.4330224744536846,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 45.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号が0km/hなのにブレーキせず8km/hで走行し、信号超過かつ先行列車との安全距離不足のため即時0点とした。
8,Train11,巡航フェーズ（駅間走行中）,惰行中,4.0,力行（加速）,10.0,70.0,0.0,8.0,70.0,500.0,40.0,3.4330224744536846,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 45.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号が0km/hであるにも関わらずブレーキせず惰行を続け、信号無視と判定されたため即時0点とした。
9,Train11,巡航フェーズ（駅間走行中）,惰行中,12.0,力行（加速）,10.0,70.0,0.0,8.0,70.0,500.0,40.0,3.4330224744536846,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 45.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号が0km/hなのにブレーキせず8km/hで走行し、安全規定違反と判断しrewardを0.0とした。
10,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,4.0,力行（加速）,10.0,70.0,0.0,8.0,70.0,300.0,25.0,3.4330224744536846,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 45.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号0km/hに対し8km/hでブレーキせず走行しており、即時0点ルールに該当するためrewardは0.0。
