time,train_id,phase,act,speed_limit,current_speed,dist_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,w_surv,w_conf,w_comp,reason
0.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,1.6,1799.9,0.0,0.0,この先制限速度なし,499m先に下り勾配35.0‰あり,0.2,0.6,0.8,現在は加速開始直後で速度は制限の1.6 km/hと十分低く、安全リスクは低い。乗客快適性とエネルギー効率を重視し、Survivalを低めに設定し、ConfidenceとCompetenceを高める。
30.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,100.0,97.6,1386.6,0.0,0.0,この先制限速度なし,86m先に下り勾配35.0‰あり,0.85,0.4,0.6,速度が制限限界に近く、すぐ下り勾配で超速リスクが高いためSurvivalを最優先(0.85)。加速中で乗り心地は重要だが急激な変化は避け、Confidenceは中程度(0.4)。下りで回生ブレーキ活用可能なためCompetenceも高めに設定(0.6)。
60.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,94.84,614.3,0.0,-35.0,この先制限速度なし,この先目立った勾配なし,0.3,0.7,0.5,速度は制限以下で遅延なし、下り勾配のため安全リスク低く快適走行が可能。省エネは回生余地少。Survival低め、Confidence高め、Competenceは中程度に設定。エネルギー回収は限定的で、急ブレーキ不要。
90.0,T1,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,100.0,39.96,1848.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.7,速度は制限の半分以下で遅延なし、危険は低いが減速中の回生で省エネが期待でき、乗客快適性も保ちたい。
150.0,T1,巡航フェーズ（駅間走行中）,惰行中,70.0,68.7,1565.7,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.4,0.8,0.5,現在は制限速度下回りで遅延なし、勾配も平坦な巡航惰行中。安全リスクは低く快適性を重視し、エネルギー効率は適度に考慮する。
180.0,T1,巡航フェーズ（駅間走行中）,惰行中,70.0,55.0,1048.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.8,0.5,現在は制限速度70km/hに対し55km/hで平坦区間を惰行中、遅延0秒で安全リスクは極小。快適性を重視しつつ、エネルギーは既に効率的だが若干の回生余地あり。
210.0,T1,巡航フェーズ（駅間走行中）,惰行中,70.0,61.44,521.5,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.7,0.4,速度は制限の約88%で安全余裕が大きく、遅延なし。乗り心地を重視し滑らかな走行を維持、エネルギーは惰行で低消費のため効率は中程度に設定。
240.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,70.0,56.2,11.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.6,0.5,0.8,速度は制限以下で安全リスク低いが駅停車の正確さが必要。回生ブレーキでエネルギー回収が可能な減速フェーズのためCompetenceを高く設定し、乗り心地は普通に保つ。
300.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,75.0,52.8,1579.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.4,0.6,現在は駅出発直後の加速フェーズで、速度は制限75km/hの約70%に留まり安全リスクは低い。遅延なしで乗客の快適な加速感とエネルギー消費抑制を同時に達成することが重要。
330.0,T1,巡航フェーズ（駅間走行中）,惰行中,75.0,66.99,1018.3,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.8,0.5,現在は制限速度以下で遅延なし、平坦区間の惰行のため安全リスク低く快適性を重視し、エネルギー効率も適度に考慮する。今後の加速や減速に備えて適度な効率重視を加える。
