time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,current_speed,dist_to_next_station,time_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,1.57,1699.9,113.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.5,安全は問題なく速度も制限内で定時に必要な加速だが、直前・現在のノッチ保持時間が0秒でハンチングとみなされ快適性が低く評価を減点する。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,4.58,1699.0,112.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全は問題なく、制限速度内で加速は必要。効率的に加速しハンチングはなく、運転者好みと合致。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,7.44,1697.4,111.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.8,安全は確保され速度は制限内。定時到達に必要な平均55km/hに向け加速は妥当で、ノッチ切替は少なく快適性も高い。運転者好みの加速後惰行戦略に合致。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,10.15,1694.9,110.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全面で制限超過はなく、次駅到達に必要な平均55km/hに向け加速は適切。ノッチ保持3秒は出発直後の正常操作で、ハンチングや過剰な加減速は見られず快適性も高い。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,12.71,1691.7,109.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全面は制限速度内で問題なし。次駅到達に必要な平均55.7km/hを考慮し、加速は適切。ノッチ保持4秒でハンチングなし、乗り心地も良好。運転者の加速・惰行方針に合致。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,15.14,1687.9,108.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.8,安全は問題なく制限超過なし。定時到達に必要な平均56km/hに対し現在は低速で、加速継続は妥当。ノッチ切替は少なく快適性も高い。運転手の好みと合致。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,17.45,1683.3,107.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全は完全に守られ、必要速度56.5km/hに向け加速中で効率的。ノッチ切替は少なく快適性も高く、運転手の好みと合致。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,19.63,1678.2,106.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全面は制限速度遵守で問題なし。残距離・時間からは平均56.8km/h必要で、加速継続は妥当。ノッチ切替は少なく快適性も高く、運転者好みと合致。先行・後続列車なしで停止距離の余裕もあり、エネルギー無駄も少ない。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,21.7,1672.4,105.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全面は制限速度内で前方列車なし。残距離・時間から57km/hが必要で、加速中は適切。ノッチ保持8秒でハンチングなし、快適性も高く、運転手の加速→惰行方針に合致。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,23.65,1666.1,104.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全は完全に守られ、加速は定時到達に必要な速度へ向かう適切な操作。ノッチ切替は少なく快適で、運転手の加速後惰行志向にも合致。
10.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,10.0,なし（または停止）,0.0,70.0,25.51,1659.3,103.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全は制限速度70km/h以下で確保。残距離1659m・残時103sから必要平均57.8km/hで、現在加速中の25.5km/hは妥当。ノッチ切替は連続せず快適。総合評価0.9。
11.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,11.0,なし（または停止）,0.0,70.0,27.26,1652.0,102.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全は問題なく制限超過なし。残距離・時間から58km/hが必要で、現在の加速は速度到達に適切。ノッチ切替は少なく乗り心地良好。運転者の加速後惰行志向と一致。
12.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,12.0,なし（または停止）,0.0,70.0,28.93,1644.2,101.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.8,安全は制限速度内で確保。残距離・時間から58km/hが必要で、加速中は適切。ノッチ切替は少なく快適。運転者の加速→惰行志向に合致。
13.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,13.0,なし（または停止）,0.0,70.0,30.5,1635.9,100.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全に制限速度以下で加速中。残距離・残時間から必要平均速度≈58.7km/hで、現在の加速は妥当。ノッチ保持13秒で切替少なく快適性も高く、運転好みと合致。
14.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,14.0,なし（または停止）,0.0,70.0,31.99,1627.2,99.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全面で速度超過なし、必要平均速度59km/hに向けた加速は適切。停止後の力行は一回だけで切替え少なく快適性も高く、効率的に定時到達が見込める。
15.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,15.0,なし（または停止）,0.0,70.0,33.4,1618.2,98.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全面で速度超過なし、必要平均速度59km/hを満たすため加速は適切。保持時間15秒でノコギリ運転なし、快適かつ効率的。エネルギー無駄なく、制限速度ギリギリまで加速し、運転手好みと合致。
16.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,16.0,なし（または停止）,0.0,70.0,34.74,1608.7,97.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.8,安全面は制限速度内で問題なし。残距離・時間から必要平均速度≈60km/hで、現在34.7km/hは不足しているため加速継続は適切。ノッチ保持が16秒と長く、ハンチングなしで乗り心地も良好。以上より高評価とする。
17.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,17.0,なし（または停止）,0.0,70.0,36.0,1598.9,96.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全面では速度超過なしで停止距離も問題なし。残距離・残時間から必要平均速度≈60km/hで、現在36km/hのため加速継続は妥当。ノッチ保持時間は17秒と長く、ハンチングは発生していない。快適性も高く評価できる。
18.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,18.0,なし（または停止）,0.0,70.0,37.2,1588.7,95.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.8,安全は制限速度内で問題なし。残距離・時間から必要平均速度≈60km/hで、現在37km/hのため加速継続は妥当。ノッチ切替は1回だけで快適性も高く、保持時間も長い。
19.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,19.0,なし（または停止）,0.0,70.0,38.33,1578.2,94.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.8,安全は問題なし、制限超過なし。速度が定時平均に届かず加速が必要で、現在の連続力行は適切。ノッチ切替少なく快適。
20.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,20.0,なし（または停止）,0.0,70.0,39.4,1567.4,93.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全は制限内で問題なし。残距離・時間から平均60km/h必要で、加速継続は適切。ノッチ切替は少なく快適。先行・後続列車なしで安全距離確保。効率的に目標速度へ上げ、無駄な減速なし。
21.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,21.0,なし（または停止）,0.0,70.0,40.42,1556.3,92.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.8,安全は制限内で問題なし。残距離・時間から平均60.6km/h必要で加速は妥当。21秒連続の力行でノッチ切替は少なく、乗り心地も良好。運転手の加速後惰行志向と合致し、総合評価は高い。
22.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,22.0,なし（または停止）,0.0,70.0,41.38,1545.0,91.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全は問題なし。速度が制限の半分以下で定時に遅れそうなため加速は適切。ノッチ切替は少なく快適。現在の加速保持時間22秒は十分で、無駄なハンチングは見られず、運転者の好みと合致している。
23.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,23.0,なし（または停止）,0.0,70.0,42.28,1533.3,90.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.8,安全面では制限速度を守り超過なし。残距離・時間から平均61km/hが必要で、現在42km/hのため加速は妥当。加速保持時間23秒は十分で、頻繁なノッチ切替もなく快適性も良好。運転者の加速・惰行方針に合致し評価は高い。
24.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,24.0,なし（または停止）,0.0,70.0,43.16,1521.5,89.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.8,速度が制限の半分以下で定時に遅れ、必要平均61km/hに達すべく加速は安全かつ適切。切替は少なく快適だが、まだ目標速度に未達でエネルギー余剰はない。
25.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,25.0,なし（または停止）,0.0,70.0,44.03,1509.4,88.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全は制限速度内で確保。残距離・残時間から必要速度≈61km/hで、44km/hの加速は妥当。ノッチ切替は少なく快適で、運転者の好みと合致。
26.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,26.0,なし（または停止）,0.0,70.0,44.88,1497.0,87.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全面は制限超過なし。残距離・時間から必要平均61.7km/hで、現在44.9km/hのため加速は妥当。加速継続26秒で切替少なく快適性も高く、運転者好みと合致。
27.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,27.0,なし（または停止）,0.0,70.0,45.71,1484.4,86.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全面で速度超過なし、必要平均速度61.9km/hに対し現在45.7km/hで遅れているため加速は妥当。加速は27秒間継続し切替少なく快適性も高く、運転者の加速後惰行方針に合致。
28.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,28.0,なし（または停止）,0.0,70.0,46.54,1471.6,85.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.8,安全面は制限速度内で問題なし。残距離・時間から平均62km/h必要で、加速中は妥当。ノッチ切替は少なく快適。全体的に適切だが速度がまだ不足気味。遅延は0秒で安全余裕あり、先行列車なしで無理な減速も不要。
29.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,29.0,なし（または停止）,0.0,70.0,47.34,1458.6,84.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.7,安全は制限内で問題なし。残距離・時間から必要平均速度は62km/hで、現在47km/hと不足。加速継続は妥当だが、まだ目標速度に達しておらず効率はやや低下。ノッチ切替は少なく快適性は高い。
30.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,30.0,なし（または停止）,0.0,70.0,48.14,1445.3,83.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.8,安全は制限速度70km/hを下回り超過なし。残距離1445m・残時間83sから必要平均速度は約62km/hで、現在48km/hだが加速を続けているため到達見込み。ノッチ保持30秒で切替少なく乗り心地良好。
31.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,31.0,なし（または停止）,0.0,70.0,48.92,1431.8,82.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全は制限内で問題なし。残距離・時間から必要平均62.6km/hで加速は必須。31秒の連続力行はハンチングなく快適。効率的に速度上げているため高評価。
32.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,32.0,なし（または停止）,0.0,70.0,49.69,1418.1,81.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,現在速度49.7km/hは残距離1418m・残時間81.4sから算出される必要平均速度62.8km/hを下回っており、制限70km/hを超えていない安全な加速が続いている。先行・後続列車なしでノッチ切替もなく、ドライバーの加速後惰行志向に合致し、快適性も高い。
33.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,33.0,なし（または停止）,0.0,70.0,50.44,1404.2,80.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.9,安全は制限内で問題なし。残距離・時間から平均62.9km/h必要で、加速は妥当。33秒連続で滑らか、ノコギリ運転なし。
