time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,10.0,70.0,23.7,23.7,23.7,120.0,36.5,29.971104272865535,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 0.0km/h で走行中,後続列車なし,0.2,ブレーキ開始が停止位置から90m離れた段階で行われ、早すぎる減速によりエネルギー損失と遅延リスクが生じるため低評価とした。
1,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,10.0,70.0,23.7,23.7,70.0,120.0,0.0,29.971104272865535,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 0.0km/h で走行中,後続列車なし,0.4,次駅減速フェーズでdelta_stopが大きいにも関わらず早期ブレーキを行い、定時性とエネルギー効率を損なっているため評価を低くした。
2,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,10.0,70.0,23.7,23.7,23.7,120.0,36.5,29.971104272865535,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 0.0km/h で走行中,後続列車なし,0.2,ブレーキ開始が停止位置から90m手前と早すぎ、必要速度を下回りエネルギー無駄となるため低評価とした。
3,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,10.0,70.0,23.7,23.7,70.0,120.0,0.0,29.971104272865535,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 0.0km/h で走行中,後続列車なし,0.1,ブレーキ開始が必要距離より30m以上早く、停止位置が大幅にずれた上に遅延もあるため大幅減点とし、rewardは0.1とした。
4,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,12.0,70.0,23.7,23.7,23.7,120.0,36.5,29.971104272865535,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 0.0km/h で走行中,後続列車なし,0.1,次駅減速フェーズでdelta_stopが90mと過大でブレーキ開始が早すぎ、エネルギー無駄となり大幅減点とした。
5,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,12.0,70.0,23.7,23.7,70.0,120.0,0.0,29.971104272865535,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 0.0km/h で走行中,後続列車なし,0.1,ブレーキが必要停止距離より約90m前に開始され、停止位置が大幅に早くなるため大幅減点とし、rewardを0.1に設定した。
6,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,12.0,70.0,23.7,23.7,23.7,120.0,36.5,29.971104272865535,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 0.0km/h で走行中,後続列車なし,0.2,CBTC信号と速度制限は守られているが、delta_stopが90mと大きく早期にブレーキを開始し、停止位置が大幅に手前になるためエネルギー無駄と評価した。
7,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,12.0,70.0,23.7,23.7,70.0,120.0,0.0,29.971104272865535,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 0.0km/h で走行中,後続列車なし,0.1,ブレーキ開始が必要距離より大幅に早く、delta_stopが90mで早すぎる減速と判定され、遅延とエネルギー効率が著しく低下するため低評価とした。
8,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,2.0,力行（加速）,10.0,70.0,23.7,31.7,31.7,120.0,27.3,53.4343665062394,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号速度23.7km/hを超えて31.7km/hで走行し、ブレーキ未実施のため安全上の重大違反と判断し即時0.0点とする。
9,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,2.0,力行（加速）,10.0,70.0,23.7,31.7,70.0,120.0,0.0,53.4343665062394,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号速度23.7km/hを超える31.7km/hでブレーキせず走行しているため即時0点とした。
10,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,9.0,力行（加速）,10.0,70.0,23.7,31.7,31.7,120.0,27.3,53.4343665062394,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号速度23.7km/hを超える31.7km/hでブレーキせず走行しているため即時0点ルールが適用され、rewardは0.0となる。
11,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,9.0,力行（加速）,10.0,70.0,23.7,31.7,70.0,120.0,0.0,53.4343665062394,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号速度23.7km/hを超える31.7km/hでブレーキせず走行しており、安全違反の即時0点ルールに該当するため。
12,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,10.0,70.0,23.7,23.7,23.7,120.0,36.5,29.971104272865535,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 15.0km/h で走行中,後続列車なし,0.2,delta_stopが90mと大きく正の値なのにブレーキを開始しており、停止位置が大幅に早くなるため早すぎるブレーキと判断し低評価とした。
13,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,10.0,70.0,23.7,23.7,70.0,120.0,0.0,29.971104272865535,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 15.0km/h で走行中,後続列車なし,0.2,delta_stopが90mと大きく、必要以上に早くブレーキをかけているため定時性と省エネが著しく低下し、0.2点とした。
14,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,10.0,70.0,23.7,23.7,23.7,120.0,36.5,29.971104272865535,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 15.0km/h で走行中,後続列車なし,0.1,ブレーキが停止位置より30m以上手前で開始され、早すぎる減速により遅延とエネルギー損失が生じたため低評価とした。
15,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,10.0,70.0,23.7,23.7,70.0,120.0,0.0,29.971104272865535,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 15.0km/h で走行中,後続列車なし,0.1,delta_stopが90mと大きく正の値で早期ブレーキを行い、停止位置達成が遅れエネルギー効率が低下するため低評価とした。
16,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,12.0,70.0,23.7,23.7,23.7,120.0,36.5,29.971104272865535,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 15.0km/h で走行中,後続列車なし,0.1,ブレーキ開始が停止位置から90m離れた段階で行われ、早すぎる減速により遅延とエネルギー損失が生じるため0.1とした。
17,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,12.0,70.0,23.7,23.7,70.0,120.0,0.0,29.971104272865535,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 15.0km/h で走行中,後続列車なし,1.0,制限速度・CBTCを遵守し、停止位置は十分に確保され、減速フェーズでのブレーキは信号速度に合わせた適切な操作で、ノコギリ運転もなく間隔も安全なため最高評価とした。
18,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,12.0,70.0,23.7,23.7,23.7,120.0,36.5,29.971104272865535,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 15.0km/h で走行中,後続列車なし,0.1,delta_stopが90mと大きく正で、必要以上に早くブレーキを掛けているため停止位置誤差が大きく、定時性と省エネ性が著しく低下し、評価は0.1とした。
19,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,12.0,70.0,23.7,23.7,70.0,120.0,0.0,29.971104272865535,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 15.0km/h で走行中,後続列車なし,1.0,CBTC信号速度と一致したままブレーキを継続しており、制限速度・信号超過なし、先行列車との安全距離も確保されているため現在のノッチ操作は適切と判断した。
20,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,2.0,力行（加速）,10.0,70.0,23.7,31.7,31.7,120.0,27.3,53.4343665062394,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 15.0km/h で走行中,後続列車なし,0.0,CBTC信号速度23.7km/hを超える31.7km/hでブレーキせず走行しているため即時0点とした。
21,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,2.0,力行（加速）,10.0,70.0,23.7,31.7,70.0,120.0,0.0,53.4343665062394,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 15.0km/h で走行中,後続列車なし,0.0,CBTC信号速度23.7km/hを超えて31.7km/hで惰行し、ブレーキ未適用のため即時0点ルールに該当し、rewardは0.0とした。
22,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,9.0,力行（加速）,10.0,70.0,23.7,31.7,31.7,120.0,27.3,53.4343665062394,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 15.0km/h で走行中,後続列車なし,0.0,CBTC信号速度23.7km/hを超える31.7km/hでブレーキせず走行しており、安全違反の即時0点ルールに該当するためreward=0.0とした。
23,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,9.0,力行（加速）,10.0,70.0,23.7,31.7,70.0,120.0,0.0,53.4343665062394,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 80.0m 先を 15.0km/h で走行中,後続列車なし,0.0,CBTC信号速度23.7km/hを超える31.7km/hでブレーキせず惰行しているため即0.0ルールが適用され、rewardは0.0とした。
24,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,10.0,70.0,49.7,49.7,49.7,120.0,17.4,130.0837763532528,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,0.0,delta_stopが-10.08mでブレーキ中にもかかわらず停止位置が確保できず、即時0点ルールに該当するためrewardは0.0とした。
25,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,10.0,70.0,49.7,49.7,70.0,120.0,0.0,130.0837763532528,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,0.0,delta_stopが-10.08mでブレーキ中にも関わらずオーバーランが確実と判断され、即reward0.0ルールが適用されたため。
26,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,10.0,70.0,49.7,49.7,49.7,120.0,17.4,130.0837763532528,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,0.0,delta_stopが-10.08mでブレーキ中にも関わらず停止位置に間に合わずオーバーランが確実なため即時0点とした。
27,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,10.0,70.0,49.7,49.7,70.0,120.0,0.0,130.0837763532528,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,0.0,現在ブレーキ中でもδ_stopが-10.08mと手前すぎ、オーバーランがほぼ確実と判定され、即reward0.0ルールが適用されたためrewardは0.0となる。
28,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,12.0,70.0,49.7,47.7,47.7,120.0,18.1,119.96844830325998,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,1.0,ブレーキが適切なタイミングで開始され、delta_stopが0.03mと許容範囲内で停止位置が確保され、速度も制限・CBTC内に収まっているため高評価とした。
29,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,12.0,70.0,49.7,47.7,70.0,120.0,0.0,119.96844830325998,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,1.0,ブレーキが適切に掛かりdelta_stopが0.03mとほぼ理想的で、速度・信号遵守、列車間隔も問題なく、即時0点要因なしと判断し最高評価とした。
30,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,12.0,70.0,49.7,47.7,47.7,120.0,18.1,119.96844830325998,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,1.0,ブレーキが適切に掛かりdelta_stopが0.03mで停止位置が正確、速度も制限内で安全に減速しているため最高評価とした。
31,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,12.0,70.0,49.7,47.7,70.0,120.0,0.0,119.96844830325998,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,1.0,ブレーキが適切に掛かりdelta_stopが0.03mで停止位置が確保され、速度・CBTC制限を遵守しているため高評価とした。
32,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,2.0,力行（加速）,10.0,70.0,49.7,57.7,57.7,120.0,15.0,174.4416192277705,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号速度49.7km/hを超える57.7km/hで惰行しブレーキ未実施、停止距離不足で駅手前に停止できず、安全違反とみなしたため即時0点とした。
33,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,2.0,力行（加速）,10.0,70.0,49.7,57.7,70.0,120.0,0.0,174.4416192277705,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号速度49.7km/hを57.7km/hで超過しブレーキ未実施のため即時0点とし、安全上重大な違反と判断した。
34,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,9.0,力行（加速）,10.0,70.0,49.7,57.7,57.7,120.0,15.0,174.4416192277705,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号速度49.7km/hを57.7km/hで超過しブレーキ未使用のため即時0点と判定。
35,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,9.0,力行（加速）,10.0,70.0,49.7,57.7,70.0,120.0,0.0,174.4416192277705,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,0.0,CBTC信号速度49.7km/hを超えて57.7km/hで走行し、ブレーキ未実施のため即時0点とした。
36,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,2.0,ブレーキ（減速）,12.0,70.0,49.7,15.0,15.0,120.0,57.6,12.043897473726263,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,0.4,次駅減速フェーズで必要速度と同等の15km/hであるにも関わらず力行を継続し、省エネ性とフェーズ適合性が欠如しているため0.4点とした。
37,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,2.0,ブレーキ（減速）,12.0,70.0,49.7,15.0,70.0,120.0,0.0,12.043897473726263,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,0.9,加速はdelta_stopが正でCBTC信号を遵守し、速度超過や停止位置の問題もなく適切と判断した。
38,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,9.0,ブレーキ（減速）,12.0,70.0,49.7,15.0,15.0,120.0,57.6,12.043897473726263,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,0.2,次駅減速フェーズで加速しており停止位置達成が不適切で、不要な力行により省エネ性が低下したため低評価とした。
39,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,9.0,ブレーキ（減速）,12.0,70.0,49.7,15.0,70.0,120.0,0.0,12.043897473726263,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 0.0km/h で走行中,後続列車なし,0.4,定時性と省エネ性で不必要な加速があり、20秒の遅延を拡大させるため評価を低くし、0.4とした。
40,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,10.0,70.0,49.7,49.7,49.7,120.0,17.4,130.0837763532528,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 15.0km/h で走行中,後続列車なし,0.0,delta_stopが-10.08mでオーバーランがほぼ確実であり、即時0点ルールに該当するためrewardは0.0とした。
41,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,10.0,70.0,49.7,49.7,70.0,120.0,0.0,130.0837763532528,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 15.0km/h で走行中,後続列車なし,0.0,Delta_stopが-10.08mでブレーキ開始が遅すぎ、オーバーランがほぼ確実なため即時0点ルールが適用され、rewardは0.0となる。
42,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,10.0,70.0,49.7,49.7,49.7,120.0,17.4,130.0837763532528,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 15.0km/h で走行中,後続列車なし,0.0,delta_stopが-10.08mでブレーキ中でも停止位置が手前すぎ、オーバーランが確実なため即時0点とした。
43,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,10.0,70.0,49.7,49.7,70.0,120.0,0.0,130.0837763532528,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 15.0km/h で走行中,後続列車なし,0.0,δ_stopが-10.08mでブレーキ中にも関わらず停止位置が手前すぎ、オーバーランがほぼ確実と判断し即時0点とした。
44,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,12.0,70.0,49.7,47.7,47.7,120.0,18.1,119.96844830325998,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 15.0km/h で走行中,後続列車なし,1.0,ブレーキが適切に作動しΔstopが0.03mで停止位置が確保、速度・CBTC遵守で評価は最高。
45,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.0,惰行,12.0,70.0,49.7,47.7,70.0,120.0,0.0,119.96844830325998,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 15.0km/h で走行中,後続列車なし,1.0,ブレーキが適切に掛かりdelta_stopが0.03mで停止位置が正確、速度は制限・CBTC内、ノコギリ運転なしのため最高評価とした。
46,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,12.0,70.0,49.7,47.7,47.7,120.0,18.1,119.96844830325998,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 15.0km/h で走行中,後続列車なし,1.0,次駅減速フェーズでブレーキが適切に掛かり、delta_stopが0.03mで停止位置が確実、速度は制限・CBTC内、ノコギリ運転なし、全項目で問題なしと判断し1.0とした。
47,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,12.0,70.0,49.7,47.7,70.0,120.0,0.0,119.96844830325998,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 15.0km/h で走行中,後続列車なし,1.0,ブレーキが適切に作動し、停止位置誤差0.03mでCBTC信号を遵守、速度超過なしのため高評価。
48,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,2.0,力行（加速）,10.0,70.0,49.7,57.7,57.7,120.0,15.0,174.4416192277705,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 15.0km/h で走行中,後続列車なし,0.0,CBTC信号49.7km/hを57.7km/hでブレーキせずに超過しており、安全違反の即0点ルールに該当するためrewardは0.0とした。
49,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,2.0,力行（加速）,10.0,70.0,49.7,57.7,70.0,120.0,0.0,174.4416192277705,20.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 15.0km/h で走行中,後続列車なし,0.0,CBTC信号速度49.7km/hを超える57.7km/hでブレーキせず走行しており、即reward0.0ルールに該当するため0.0とした。
50,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,9.0,力行（加速）,10.0,70.0,49.7,57.7,57.7,120.0,15.0,174.4416192277705,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方 180.0m 先を 15.0km/h で走行中,後続列車なし,0.0,CBTC信号速度を超えてブレーキしていないため即時0点とし、delta_stopが負で過走リスクがあり安全性が著しく欠如しています。
