time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,current_speed,dist_to_next_station,time_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,1.57,2487.9,155.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.6,安全は完全に守られ、必要速度に向けた加速は適切だが、ノッチ保持時間が0秒でハンチング感があり快適性が低下。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,4.58,2487.0,154.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.6,安全は問題なく制限超過もなし。だが加速が1秒だけで直前が停止と続くためハンチングが発生し快適性が低く、加速持続が不足。必要速度に向けた加速は妥当だが短時間保持で効率もやや減点。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,7.44,2485.4,153.5,0.0,0.0,この先制限速度なし,485m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は完全に確保され、必要平均速度58km/hに向け加速は適切。加速保持2秒は短すぎず、ノコギリ運転なし。効率・快適性ともに好ましい操作。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,10.15,2482.9,152.5,0.0,0.0,この先制限速度なし,482m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は制限内で問題なし。残距離・時間から平均58.6km/h必要で、加速は適切。現在速度10.1km/hで制限70km/hを大きく下回り、ブレーキ不要。操作切替は1回でハンチングなし。ドライバー好みの加速後惰行へ移行も妥当。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,12.71,2479.7,151.5,0.0,0.0,この先制限速度なし,479m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で制限超過なし、必要平均速度58.9km/hに向け加速中で適切。加速保持4秒は短すぎず、ノコギリ運転もなく快適。効率的に速度上げ後惰行へ移行できるため高評価。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,15.14,2475.9,150.5,0.0,0.0,この先制限速度なし,475m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は確保され速度は制限内。定時に必要な平均≈59km/hのため加速は妥当。切替は少なく快適で、運転手好みの加速後惰行へ移行しやすい。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,17.45,2471.3,149.5,0.0,0.0,この先制限速度なし,471m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は確保され制限超過なし。残距離・時間から必要平均速度≈60km/hで、6秒の加速は妥当。ノッチ切替は停止→加速のみでハンチングなし、快適性も良好。運転手好みの加速後惰行方針に合致。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,19.63,2466.2,148.5,0.0,0.0,この先制限速度なし,466m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全面では制限速度を大幅に下回り問題なし。残距離・残時間から必要平均速度≈60km/hで、現在19.6km/hは加速途中。加速継続は効率的で、ノッチ保持7秒は短くなく快適性も確保できるため高評価。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,21.7,2460.4,147.5,0.0,0.0,この先制限速度なし,460m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で速度超過や列車間隔の問題はなく、定時到着に必要な平均速度≈60km/hを考えると加速は妥当。加速時間8秒は短すぎずノコギリ運転もなし。効率・快適性も良好。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,23.65,2454.1,146.5,0.0,0.0,この先制限速度なし,454m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は確保され制限超過なし。残距離・時間から平均60km/h必要で、加速は妥当。ノッチ切替は1回のみで快適性も高く、運転好みと合致。
10.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,10.0,なし（または停止）,0.0,70.0,25.51,2447.3,145.5,0.0,0.0,この先制限速度なし,447m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は確保され、制限速度70km/h未満で走行。残距離・時間から必要平均速度≈60km/hで、現在加速は妥当。ノッチ保持時間10秒で切替少なく快適性高く、運転者の加速後惰行方針にも合致。
11.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,11.0,なし（または停止）,0.0,70.0,27.26,2440.0,144.5,0.0,0.0,この先制限速度なし,439m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.6,安全面は問題なく制限速度以下で停止距離も確保。加速が続き過ぎて必要速度を上回り、エネルギー無駄と快適性低下。ノッチ保持は適切。先行列車なしで車間距離の心配もなく、ハンチングは発生していない。
12.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,12.0,なし（または停止）,0.0,70.0,28.93,2432.2,143.5,0.0,0.0,この先制限速度なし,432m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面では制限速度を大幅に下回り問題なし。残距離・残時刻から必要平均速度は約61km/hで、現在28.9km/hのため加速継続は妥当。加速12秒は適切でノッチ切替少なく快適性確保。運転者の加速後惰行志向と合致し高評価。
13.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,13.0,なし（または停止）,0.0,70.0,30.5,2423.9,142.5,0.0,0.0,この先制限速度なし,423m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は制限内で問題なし。平均61km/h必要だが30km/hで加速中で適切。加速が13秒続き切替少なく快適。運転手好みの加速→惰行パターンに合致。
