time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,70.0,0.31,2488.0,171.2,0.0,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度70km/h、CBTC表示70km/hを遵守し、現在速度0.3km/hで加速フェーズにあるため、力行を継続するのは適切です。先行・後続列車なし、ノコギリ運転も発生しておらず、定時到着に必要な平均速度≈52km/h、必要速度は約68km/hと見込まれるため、加速は妥当です。安全・効率ともに問題はありません。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,70.0,3.36,2487.5,170.2,0.59,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTCともに70km/h以内で現在3.4km/hと低速。残り距離と時間から必要平均速度は約52km/hで、1.3〜1.4倍の目標速度は約70km/h。加速フェーズで力行を継続するのは適切で、減速や惰行はなく、ノコギリ運転も発生していない。先行・後続列車もなし。安全・時刻・省エネすべて満たすため評価は最高とする。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,70.0,6.25,2486.1,169.2,2.08,0.0,0.0,この先制限速度なし,486m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,Step1・2で速度・CBTC共に制限内。Step3は減速フェーズでなく評価対象外。Step4の加速フェーズでは必要平均速度≈53km/h、目標速度≈70km/hであり、現在6.2km/hの加速は適切。Step5のノコギリ運転は前止止からの加速で逆転操作がなく減点なし。Step6・7・8も問題なし。したがって現在の力行は適切と判断できる。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,70.0,8.99,2484.0,168.2,4.33,0.0,0.0,この先制限速度なし,484m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度70km/h、CBTC信号70km/hを下回る9km/hで走行中。残り距離2484m、残り時間168.2sから算出した必要平均速度は約53km/hで、目標速度は制限速度付近の70km/h前後。現在の加速はこの目標達成に必要で、減速や惰行はなくノコギリ運転も発生していない。先行・後続列車不在、勾配平坦で安全上の問題もなく、定時遅れ0秒のため、現在の力行は適切である。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,70.0,11.59,2481.2,167.2,7.21,0.0,0.0,この先制限速度なし,481m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70 km/hで現在速度は11.6 km/hと安全域内です。残り距離と所要時間から必要平均速度は約53 km/hで、加速フェーズで力行を続けることは必要速度に向けた適切な操作です。前後列車なし、ノコギリ運転も発生せず、定時性・省エネ面でも過剰な加速はなく評価は高いです。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,70.0,14.06,2477.6,166.2,10.61,0.0,0.0,この先制限速度なし,477m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守されており、加速フェーズでの力行は必要速度に向けた適切な操作です。前後列車不在でノコギリ運転もなく、停車位置や間隔の問題もありません。定時到着に向けて速度を上げる必要があるため、現在の加速は妥当であり、エネルギー効率も許容範囲です。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,70.0,16.39,2473.4,165.2,14.44,0.0,0.0,この先制限速度なし,473m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに遵守されており、加速フェーズで必要速度（約54km/h）に向けて力行を継続している点は適切です。ノコギリ運転や列車間隔の問題もなく、定時性・省エネ性の観点でも現在の加速は妥当です。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,70.0,18.61,2468.5,164.2,18.6,0.0,0.0,この先制限速度なし,468m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要な平均速度（約54km/h）に向けて力行を継続している点は適切です。前後列車なしでノコギリ運転も発生しておらず、安全性に問題はありません。エネルギー効率も加速が必要な段階であるため妥当です。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,70.0,20.71,2463.0,163.2,23.03,0.0,0.0,この先制限速度なし,463m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズでの力行は必要速度（約55km/h）に向けた適切な加速です。ノコギリ運転は発生せず、前後列車もなしで安全上の問題はありません。エネルギー面でも不要な惰行や減速がなく、定時性も保たれています。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,70.0,22.69,2457.0,162.2,27.66,0.0,0.0,この先制限速度なし,457m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70 km/h以下で22.7 km/hと安全域があり、加速フェーズで必要な平均速度（約54.5 km/h）を1.3‑1.4倍した目標速度に向けて力行を継続している。前後列車なし、ノコギリ運転も発生せず、定時遅れも0秒で省エネ上の問題はない。したがって現在の力行は適切である。
