time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,0.31,2488.0,171.2,0.0,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度超過なし、前方列車なしで安全距離確保済み。駅までの平均速度要件は約52km/hで、現在0.3km/hのため加速（力行）は適切。ブレーキ開始の必要もなく、ノコギリ運転も発生していない。省エネ・定時性の観点でも、後で惰行へ切り替えれば問題ないため、現在の操作は理想的。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,3.36,2487.5,170.2,0.59,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度を大きく下回り安全は確保。先行列車なしでブレーキ距離も十分に余裕がある。加速フェーズでの力行は目標速度へ向けた適切な加速で、ノコギリ運転も発生していない。エネルギー面でも早期加速は定時到着に支障なく、全体的に適切な操作。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,6.25,2486.1,169.2,2.08,0.0,0.0,この先制限速度なし,486m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,速度は制限内で安全に加速中。先行列車なし、オーバーランリスクもなし。駅出発直後の加速フェーズにおいて、目標速度に向けた加速は適切で、定時到着に必要な速度上昇が求められる。ノコギリ運転は発生しておらず、安全性・快適性ともに良好。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,8.99,2484.0,168.2,4.33,0.0,0.0,この先制限速度なし,484m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度内で速度超過なし。先行列車なし。残距離はブレーキ距離(4.33 m)に比べ十分でオーバーランリスクなし。加速フェーズで9 km/hはまだ低く、目標速度達成に向けた加速は適切。ノコギリ運転もなく、定時性・省エネの観点でも現在の力行は妥当。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,11.59,2481.2,167.2,7.21,0.0,0.0,この先制限速度なし,481m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度70km/hを大きく下回り安全は確保されています。先行列車なし、ブレーキ距離7.21mに対し残距離は2.48kmと十分で、オーバーランリスクはありません。現在は駅出発直後の加速フェーズで、4秒間の力行は目標速度に向けた適切な加速であり、ノコギリ運転も発生していません。省エネのための惰行への切替は後段で行えばよく、現時点の操作は安全・効率ともに良好です。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,14.06,2477.6,166.2,10.61,0.0,0.0,この先制限速度なし,477m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,制限速度を超えておらず、前方列車もなしで安全は確保されています。加速フェーズで速度14.1km/hは目標速度に向けた適切な加速であり、ブレーキ距離や駅到達時間に余裕があります。直前は停止状態であり、ノコギリ運転は発生していません。エネルギー効率の観点で惰行活用の余地はあるものの、現在の操作は安全・適切と判断できます。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,16.39,2473.4,165.2,14.44,0.0,0.0,この先制限速度なし,473m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,速度は制限内で先行列車もなし。残距離はブレーキ距離を大きく上回りオーバーランリスクは無い。加速フェーズで16 km/hの時点での力行は目標速度へ向けた適切な加速であり、安全性は確保されている。省エネのための早期惰行は可能だが致命的ではない。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,18.61,2468.5,164.2,18.6,0.0,0.0,この先制限速度なし,468m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,速度は制限内で先行列車もなし。残距離は十分でブレーキリスクは無く、加速フェーズでの力行は必要。エネルギー効率は惰行活用が遅れるが安全性・快適性に問題はなく、ノコギリ運転も発生していない。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,20.71,2463.0,163.2,23.03,0.0,0.0,この先制限速度なし,463m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,速度は制限内で先行列車もなし。残距離と所要時間から平均約54 km/hが必要で、現在20.7 km/hの加速は妥当。ブレーキ開始時期にも十分余裕があり、ノコギリ運転は発生せず、安全・効率・快適性ともに適切と判断できる。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,22.69,2457.0,162.2,27.66,0.0,0.0,この先制限速度なし,457m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度を大きく下回っており安全上の問題はありません。先行列車もなく、加速フェーズでの9秒間の力行は目標速度へ向けた適切な加速で、ノコギリ運転も発生していません。定時到着までの余裕もあり、現在の操作は安全・効率・快適性すべての観点で適切です。
