time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,mode,reward,reason
121.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,2.0,ブレーキ（減速）,2.0,70.0,70.0,42.81,47.1,567.8,57.0,89.56434928247923,0.0,6.1,この先制限速度なし,377m先に上り勾配9.2‰あり,前方568.2m先を0.0km/h,後続列車なし,5.0,57.0,未発車,55.0,41.8,anti_mid_stop,0.0,ノコギリ運転と判定され、prev_notch_durationが2秒未満のためreward上限が0.0となった。
84.0,Train11,巡航フェーズ（駅間走行中）,惰行中,6.0,力行（加速）,6.0,70.0,70.0,59.45,70.0,1205.8,36.0,184.96540201804095,0.0,0.0,この先制限速度なし,215m先に上り勾配12.5‰あり,前方713.8m先を60.1km/h,後続列車なし,10.0,84.0,未発車,40.0,55.3,anti_mid_stop,0.5,先行列車が塞いでいる駅間停車防止モードでtarget_speed_no_stop以下に抑えているが、力行→惰行への切替が7秒未満で合理的理由がなくノコギリ運転と判定され、reward上限が0.5に制限された。
185.89999999999938,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,3.2000000000000015,力行（加速）,0.1,70.0,0.0,14.33,70.0,12.0,0.0,9.771758484369656,8.0,9.2,この先制限速度なし,この先目立った勾配なし,前方12.4m先を0.0km/h,後続列車なし,0.0,2.1,未発車,40.0,6.0,anti_mid_stop,0.0,先行列車が12.4m先に停車しており衝突リスクが即時0点対象となるためrewardは0.0となる。
71.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,4.0,惰行,6.0,70.0,70.0,66.53,70.0,1239.2,58.0,230.48965771617182,0.0,0.0,この先制限速度なし,249m先に上り勾配12.5‰あり,前方861.2m先を57.2km/h,後続列車なし,5.0,77.0,未発車,55.0,62.0,anti_mid_stop,0.3,先行列車が塞いで駅間停車防止モード。target_speed_no_stop を超えて加速し、さらにノコギリ運転と判定されたため減点し0.3とする。
151.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,6.0,惰行,6.0,70.0,70.0,45.27,70.0,356.7,27.0,100.02529431295521,0.0,6.1,この先制限速度なし,166m先に上り勾配9.2‰あり,前方357.1m先を0.0km/h,後続列車なし,5.0,27.0,未発車,40.0,41.6,anti_mid_stop,0.4,先行列車が停車中で駅間停車防止モード。target_speed_no_stopを超える加速は不要だが、速度は許容範囲内。ノコギリ運転によりreward上限0.4に抑えた。
108.0,Train11,巡航フェーズ（駅間走行中）,惰行中,1.0,力行（加速）,12.0,70.0,70.0,61.92,70.0,777.2,46.0,200.31324086973765,0.0,0.0,この先制限速度なし,187m先に上り勾配6.1‰あり,前方671.7m先を31.5km/h,後続列車なし,5.0,55.0,未発車,40.0,49.7,anti_mid_stop,0.3,駅間停車防止モードで target_speed_no_stop 49.7km/h を大きく上回る 61.9km/h の惰行は機外停車リスクを招くため減点し、reward 0.3 とした。
81.0,Train11,巡航フェーズ（駅間走行中）,惰行中,2.0,力行（加速）,6.0,70.0,70.0,67.43,67.8,1115.0,76.0,236.61127529884513,0.0,0.0,この先制限速度なし,125m先に上り勾配12.5‰あり,前方1034.0m先を27.6km/h,後続列車なし,5.0,67.0,未発車,70.0,62.4,anti_mid_stop,0.5,先行列車が遅延して塞いでいるため駅間停車防止モード。速度はtarget_speed_no_stop上限内で適切だが、直前の力行→惰行が7秒未満で合理的理由がなくノコギリ運転と判定され、reward上限0.5となる。
190.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,3.0,力行（加速）,13.0,70.0,40.8,45.03,70.0,127.9,0.0,95.31607828736793,13.0,9.2,この先制限速度なし,この先目立った勾配なし,前方128.3m先を0.0km/h,後続列車なし,5.0,3.0,未発車,40.0,44.7,anti_mid_stop,0.0,CBTC信号速度を超過しブレーキしていないため即0.0の安全違反と判断した。
127.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,3.0,ブレーキ（減速）,1.0,70.0,70.0,53.88,70.0,719.0,46.0,152.48813229676816,0.0,0.0,この先制限速度なし,129m先に上り勾配6.1‰あり,前方714.3m先を6.9km/h,後続列車なし,5.0,51.0,未発車,40.0,49.3,anti_mid_stop,0.0,直前のブレーキ後すぐに加速へ切替え、保持時間が7秒未満で合理的理由がなくノコギリ運転と判定され、reward上限が0.0となったため。
127.0,Train11,巡航フェーズ（駅間走行中）,惰行中,3.0,力行（加速）,1.0,70.0,70.0,63.55,70.0,1001.4,46.0,210.7562594001299,0.0,0.0,この先制限速度なし,11m先に上り勾配12.5‰あり,前方996.7m先を6.9km/h,後続列車なし,5.0,66.0,未発車,40.0,55.3,anti_mid_stop,0.0,直前の力行から短時間で惰行へ切替え、速度がtarget_speed_no_stop上限を超えており、ノコギリ運転と判定されたためrewardは0.0となる。
