time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
112,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,9.0,惰行,12.0,70.0,70.0,50.0,50.0,146.6,21.1,131.6349551522256,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.4,ブレーキが停止位置より14.97m手前で開始され早すぎるため、エネルギー効率と定時性が低下し評価は0.4とした。
119,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,12.0,惰行,12.0,70.0,70.0,42.5,70.0,110.5,0.0,95.52062862558276,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.4,ブレーキが停止点より約15m手前で開始され、早すぎる減速により停車位置の誤差と遅延が増大し、エネルギー効率も低下しているため低評価とした。
122,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,14.0,惰行,12.0,70.0,70.0,37.5,37.5,89.6,17.2,74.5649683236176,0.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.2,減速フェーズでブレーキが必要位置より前に開始され、余分な減速で遅延とエネルギー損失が生じたため低評価とした。
125,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,15.0,惰行,12.0,70.0,70.0,35.0,70.0,80.0,0.0,65.03584000886715,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.4,ブレーキを早期に開始し、停止位置が過剰に前方となり定時性とエネルギー効率が低下したため評価を低くした。
135,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,20.0,惰行,12.0,70.0,70.0,22.5,70.0,42.0,0.0,27.02571761870701,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.3,ブレーキを早くかけすぎて停止位置がずれ、遅延とエネルギー無駄が生じたため評価を低くし、rewardを0.3とした。
149,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,27.0,惰行,12.0,70.0,70.0,5.0,70.0,16.3,0.0,1.3420645674902167,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.4,ブレーキが早すぎてdelta_stopが14.96mと許容範囲外で、遅延も残るため評価を低くした。
241,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,5.0,惰行,12.0,70.0,70.0,50.0,70.0,146.6,0.0,131.6349551522256,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.4,ブレーキ開始が必要距離より約15m早く、停止位置がずれエネルギー無駄で遅延も生じているため評価を低くした。
251,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,10.0,惰行,12.0,70.0,70.0,37.5,70.0,89.6,0.0,74.5649683236176,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.2,ブレーキが必要停止距離より前に開始され、余分な減速により遅延とエネルギー効率が低下しているため低評価とした。
267,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,18.0,惰行,12.0,70.0,70.0,17.5,70.0,31.4,0.0,16.37918035925243,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.2,ブレーキ開始が理想位置より15m早く、早すぎる減速で定時性とエネルギー効率が低下したため低評価とした。
271,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,20.0,惰行,12.0,70.0,70.0,12.5,70.0,23.4,0.0,8.37048443513756,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.1,ブレーキ開始が早すぎて停車位置が15m手前となり、required_speed 70km/hに対し12.5km/hと大幅に遅く、遅延とエネルギー無駄が顕著なためreward 0.1とした。
275,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,22.0,惰行,12.0,70.0,70.0,7.5,70.0,18.0,0.0,3.0177105615573585,15.0,0.0,この先制限速度なし,この先目立った勾配なし,先行列車なし,後続列車なし,0.2,ブレーキが早すぎて駅手前で停止できず、遅延が拡大し無駄な減速となったため低評価とし、rewardは0.2とした。
