time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
30.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,0.31,2488.0,205.1,0.0,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,前方 247.8m 先を 47.6km/h で走行中 (列車 T1),後続列車なし,0.9,現在速度0.3km/hは制限70km/h以内で、前方247.8mの列車から十分な安全距離が確保されており衝突リスクはなし。駅出発直後の加速フェーズで力行を開始したことは、目標平均速度≈44km/hを達成するために適切で、ノコギリ運転や無駄な加速は見られない。また、次駅までの残距離2488mと残時間205.1sから見ても加速を続ける余裕があり、過走やオーバーランの懸念はない。
31.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,3.36,2487.5,204.1,0.59,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,前方 260.6m 先を 48.4km/h で走行中 (列車 T1),後続列車なし,0.9,速度は制限内で先行列車との安全距離も確保されており、ブレーキ距離不足のリスクもなし。加速フェーズでの力行は低速時の加速として適切で、スケジュール遅延もなく省エネ面でも許容範囲。直前の操作が無いためノコギリ運転は発生していない。総合的に安全・効率ともに良好な操作と判断できる。
32.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,6.25,2486.1,203.1,2.08,0.0,0.0,この先制限速度なし,486m先に下り勾配6.7‰あり,前方 272.8m 先を 49.2km/h で走行中 (列車 T1),後続列車なし,1.0,制限速度を大幅に下回っており、先行列車との安全距離も十分です。加速フェーズでの力行は目標速度へ向けた適切な加速で、ブレーキ開始のタイミングやノコギリ運転は見られません。省エネ・快適性の観点でも問題なく、理想的な操作と言えます。
33.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,8.99,2484.0,202.1,4.33,0.0,0.0,この先制限速度なし,484m先に下り勾配6.7‰あり,前方 284.4m 先を 49.9km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度内で安全距離も確保され、前方列車との衝突リスクはなし。加速フェーズで速度9 km/hは目標速度に向けた適切な加速で、ブレーキ開始の余裕も十分。直前は停止状態で、ノコギリ運転条件を満たさず快適性への影響もなし。省エネ観点でも必要な加速と判断できる。
34.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,11.59,2481.2,201.1,7.21,0.0,0.0,この先制限速度なし,481m先に下り勾配6.7‰あり,前方 295.5m 先を 50.7km/h で走行中 (列車 T1),後続列車なし,0.8,制限速度を大きく下回り安全距離も十分に確保されています。加速フェーズでの4秒間の力行は、目標速度へ向けた無駄のない加速と判断でき、先行列車との衝突リスクもありません。ノコギリ運転は発生しておらず、エネルギー面では若干の惰行活用余地がありますが、全体として適切な操作です。
35.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,14.06,2477.6,200.1,10.61,0.0,0.0,この先制限速度なし,477m先に下り勾配6.7‰あり,前方 306.2m 先を 51.4km/h で走行中 (列車 T1),後続列車なし,0.9,速度は制限内で先行列車との安全距離も十分確保されています。加速フェーズでの5秒間の力行は、駅出発直後の加速として適切で、ブレーキ開始のタイミングや停止位置に問題はありません。ノコギリ運転は発生せず、省エネのための惰行切替は後段で検討すればよく、現在の操作は安全・効率ともに良好です。
36.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,16.39,2473.4,199.1,14.44,0.0,0.0,この先制限速度なし,473m先に下り勾配6.7‰あり,前方 316.3m 先を 52.1km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度内で安全距離も確保され、前方列車との衝突リスクはなし。加速フェーズで速度16.4km/hとまだ低く、ブレーキ距離も十分に残っているため、6秒間の力行は適切。ノコギリ運転は発生していない。省エネ観点ではまだ加速が必要だが、全体として安全・効率ともに高評価。
37.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,18.61,2468.5,198.1,18.6,0.0,0.0,この先制限速度なし,468m先に下り勾配6.7‰あり,前方 326.0m 先を 52.8km/h で走行中 (列車 T1),後続列車なし,0.8,速度は制限内で先行列車との安全距離も確保されています。ブレーキ距離は十分に残っており、加速フェーズでの力行は目標速度へ向けた適切な加速です。ノコギリ運転は発生せず、安全性は問題ありません。エネルギー効率はやや改善余地がありますが、定時性に支障はないため評価は高めです。
38.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,20.71,2463.0,197.1,23.03,0.0,0.0,この先制限速度なし,463m先に下り勾配6.7‰あり,前方 335.3m 先を 53.5km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度を大きく下回っており安全は確保。前方列車との距離も十分で衝突リスクなし。加速フェーズでの力行は目標速度に向けた適切な加速で、駅到着までの余裕もあるため省エネのための早期惰行は不要。ノコギリ運転も発生していない。
39.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,22.69,2457.0,196.1,27.66,0.0,0.0,この先制限速度なし,457m先に下り勾配6.7‰あり,前方 344.3m 先を 54.2km/h で走行中 (列車 T1),後続列車なし,1.0,制限速度70 km/h を大きく下回る22.7 km/hで安全距離も確保（前方列車まで344.3 m、20 m以上の余裕）。ブレーキ距離27.66 mに対し残距離2457 mは十分で、加速フェーズで目標速度へ向けた加速は適切。前後の操作に逆転や短時間切替がなくノコギリ運転はなし。残り196 sで平均45 km/hが必要だが、現在加速中で定時性・省エネ性に問題なし。
