time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,70.0,0.31,2488.0,175.1,0.0,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70km/h以内で、現在0.3km/hの状態から加速フェーズに入っているため、力行は必要かつ適切です。先行・後続列車なし、ノコギリ運転の条件も満たさず、停止位置や信号違反もありません。定時到着に必要な平均速度は約51km/hで、目標速度は66〜72km/hと見込まれるため、加速継続は妥当です。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,70.0,3.36,2487.5,174.1,0.59,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに遵守されており、加速フェーズでの力行は必要速度（約51km/h）に向けた適切な操作です。前後列車なしでノコギリ運転も発生せず、安全性・定時性・省エネ性すべてで問題はありません。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,70.0,6.25,2486.1,173.1,2.08,0.0,0.0,この先制限速度なし,486m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに遵守しており、加速フェーズでの力行は適切です。前後列車なしでノコギリ運転も発生せず、定時到着に必要な速度向上のための加速で省エネ・安全性ともに問題ありません。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,70.0,8.99,2484.0,172.1,4.33,0.0,0.0,この先制限速度なし,484m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,現在は加速フェーズで制限速度70km/h、CBTC信号70km/hを遵守し、速度9km/hは許容範囲です。残り距離と時間から必要平均速度は約52km/hで、加速を続けることは適切です。前方列車なし、ノコギリ運転の条件も満たさず、制御上の問題はありません。したがって現在の力行操作は妥当です。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,70.0,11.59,2481.2,171.1,7.21,0.0,0.0,この先制限速度なし,481m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.5,Step1: 速度は制限70km/h以内でCBTC信号70km/hと一致し、超過なし。Step2: CBTC遵守。Step3: 次駅停止位置は未評価フェーズ。Step4: 加速フェーズでの力行は適切。Step5: 前回停止からの切替が5秒未満の逆転（停止→力行）でノコギリ運転とみなされ、大きく減点。Step6‑7: 前後列車なし、定時余裕あり。総合的に安全は保たれるがノコギリ運転の影響で評価は低め。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,70.0,14.06,2477.6,170.1,10.61,0.0,0.0,この先制限速度なし,477m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,Step1: 速度は制限70km/h以下で安全。Step2: CBTC信号70km/hと一致し遵守。Step3: 停止位置は次駅減速フェーズ外。Step4: 加速フェーズで必要速度≈68km/hに向け加速中で適切。Step5: 前回操作が停止のためノコギリ運転条件不成立。Step6: 前後列車なしで間隔問題なし。Step7: 定時到着に余裕がありながら加速は必要速度達成のため妥当。全体として現在の力行は適切と判断し、rewardは0.9とする。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,70.0,16.39,2473.4,169.1,14.44,0.0,0.0,この先制限速度なし,473m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70km/h以内で安全に走行中。次駅到着までの平均速度は約52.7km/hで、必要速度は68.5〜73.8km/hと制限に近いため、加速（力行）を続けるのは適切です。前後列車なし、ノコギリ運転の条件も満たさず、省エネ面でも加速が必要なフェーズです。したがって現在のノッチ操作は妥当です。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,70.0,18.61,2468.5,168.1,18.6,0.0,0.0,この先制限速度なし,468m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守され、現在は加速フェーズで必要速度（約70km/h）に向けて加速中です。惰行やブレーキはなく、ノコギリ運転も発生していません。先行・後続列車もなしで、定時到着に向けた適切な加速と判断できるため、評価は高くなります。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,70.0,20.71,2463.0,167.1,23.03,0.0,0.0,この先制限速度なし,463m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC共に遵守し、加速フェーズで必要速度（約53km/h）に向けて力行を継続。ノコギリ運転なし、停車位置リスクもなし。省エネ面で若干余裕はあるが安全・定時性に支障なし。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,70.0,22.69,2457.0,166.1,27.66,0.0,0.0,この先制限速度なし,457m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,速度は制限・CBTCともに遵守しており、加速フェーズで必要速度（約53km/h）に向けて適切に力行している。ノコギリ運転や不必要な減速はなく、先行・後続列車もなし。エネルギー面で若干余裕はあるが、安全・時刻遵守の観点からは適切な操作である。
10.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,10.0,なし（または停止）,0.0,70.0,70.0,24.58,2450.4,165.1,32.44,0.0,0.0,この先制限速度なし,450m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70km/h以内で現在24.6km/hと安全です。次駅までの平均速度は約53km/h必要で、加速フェーズでの力行は適切です。前後列車なし、ノコギリ運転も発生せず、停止位置や信号違反もありません。省エネ観点で余裕はありますが、必要速度達成のため加速を続けるのは妥当です。
