time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,mode,reward,reason
120.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,1.0,ブレーキ（減速）,6.0,70.0,70.0,38.76,70.0,617.4,26.0,79.60811419015572,0.0,0.0,この先制限速度なし,27m先に上り勾配6.1‰あり,前方430.5m先を40.4km/h,後続列車なし,10.0,93.0,未発車,25.0,27.2,anti_mid_stop,0.2,先行列車が塞いでいる駅間停車防止モードで、現在速度が target_speed_no_stop を超えて力行し過剰加速とノコギリ運転が判定されたため減点。
56.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,33.0,ブレーキ（減速）,6.0,70.0,70.0,58.63,70.0,1639.1,15.0,179.99795553917056,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方398.5m先を62.9km/h,後続列車なし,10.0,142.0,未発車,25.0,51.0,anti_mid_stop,0.2,先行列車が塞いでいる駅間停車防止モードで、現在速度が target_speed_no_stop を5km/h 超えて力行しており機外停車リスクがあるため減点し0.2とした。
94.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,17.0,ブレーキ（減速）,6.0,70.0,70.0,52.01,70.0,992.9,19.0,142.25482627944817,0.0,0.0,この先制限速度なし,2m先に上り勾配12.5‰あり,前方416.0m先を61.5km/h,後続列車なし,10.0,119.0,未発車,25.0,35.7,anti_mid_stop,0.2,先行列車が塞いでいる駅間停車防止モードで、現在速度が target_speed_no_stop+5km/h を超えて力行し機外停車リスクがあるため減点し0.2とした。
83.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,7.0,惰行,6.0,70.0,70.0,53.14,70.0,1267.2,17.0,148.39802722464538,0.0,0.0,この先制限速度なし,277m先に上り勾配12.5‰あり,前方498.8m先を63.3km/h,後続列車なし,10.0,115.0,未発車,25.0,45.7,anti_mid_stop,0.3,先行が塞ぎ駅間停車防止モードで、target_speed_no_stop 45.7km/h を超える53.1km/h の力行は過剰加速と判断し減点した。
48.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,25.0,ブレーキ（減速）,6.0,70.0,70.0,51.35,70.0,1761.5,15.0,152.36845727784797,0.0,-6.7,この先制限速度なし,この先目立った勾配なし,前方380.5m先を63.2km/h,後続列車なし,10.0,150.0,未発車,25.0,34.0,anti_mid_stop,0.1,先行列車が塞いでいるため機外停車防止モードで、速度がtarget_speed_no_stop(34km/h)を大幅に上回り加速しているので過剰加速とみなされ低評価となる。
57.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,2.0,惰行,6.0,70.0,70.0,63.72,70.0,1484.4,30.0,211.85974230258114,0.0,0.0,この先制限速度なし,494m先に上り勾配12.5‰あり,前方524.4m先を62.4km/h,後続列車なし,10.0,141.0,未発車,40.0,46.6,anti_mid_stop,0.1,先行が塞いで駅間停車防止モードであるにも関わらず、target_speed_no_stopを大幅に超える力行とノコギリ運転が判定され、速度超過と間隔不適切で減点した。
129.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,3.0,惰行,6.0,70.0,70.0,63.43,70.0,476.8,26.0,194.26618762688742,0.0,6.1,この先制限速度なし,286m先に上り勾配9.2‰あり,前方379.8m先を30.2km/h,後続列車なし,10.0,69.0,未発車,25.0,34.6,anti_mid_stop,0.1,先行列車が塞いでいるため駅間停車防止モード。target_speed_no_stop 34.6km/h を大幅に上回る63.4km/h の力行と不合理なノコギリ運転で安全性と省エネが損なわれたため0.1とした。
165.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,29.0,ブレーキ（減速）,6.0,70.0,70.0,48.07,70.0,514.2,13.0,112.61114226407587,0.0,6.1,この先制限速度なし,324m先に上り勾配9.2‰あり,前方514.6m先を0.0km/h,後続列車なし,10.0,48.0,未発車,25.0,41.6,anti_mid_stop,0.2,先行列車が停止しているため駅間停車防止モード。現在速度が target_speed_no_stop を5km/h超えて加速しており機外停車リスクがあるため減点し0.2とした。
100.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,6.0,惰行,6.0,70.0,70.0,66.91,70.0,704.3,40.0,233.0652207670543,0.0,0.0,この先制限速度なし,114m先に上り勾配6.1‰あり,前方456.9m先を46.6km/h,後続列車なし,10.0,83.0,未発車,40.0,32.9,anti_mid_stop,0.2,先行列車が塞ぎ駅間停車防止モードで、target_speed_no_stop 32.9km/h を大幅に超える力行とノコギリ運転により安全余裕が失われ、上限超過で減点し、上限0.5の制限で最終reward 0.2とした。
56.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,19.0,惰行,6.0,70.0,70.0,63.71,70.0,1525.7,30.0,211.79475676017006,0.0,0.0,この先制限速度なし,この先目立った勾配なし,前方548.3m先を63.1km/h,後続列車なし,10.0,127.0,未発車,40.0,51.4,anti_mid_stop,0.3,先行列車が塞いでいる駅間停車防止モードで、target_speed_no_stop 51.4km/h を超える63.7km/h の力行は過加速とみなされ減点対象となった。
