time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,mode,reward,reason
62.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,1.0,ブレーキ（減速）,10.0,70.0,70.0,1.2184130501563717,70.0,1957.6132599454504,118.0,0.0821164551949558,0.0,-2.1,この先制限速度なし,166m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.2,巡航フェーズでrequired_speed 70km/hに対し現在速度1.2km/hと大幅に遅く、不要な低速走行とエネルギー浪費が顕著なため0.2点とした。
48.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,1.0,惰行,1.0,70.0,70.0,10.819124911531562,70.0,2050.2759686795785,132.0,6.458516663883025,0.0,-2.1,この先制限速度なし,257m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,ブレーキへの切替が1秒未満の惰行からの反転で合理的理由がなく、prev_notch_durationが1秒未満のため上限0.0点とし、不要な減速も評価を下げる。
89.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,2.0,惰行,10.0,70.0,70.0,4.712840979457436,70.0,1898.376401111001,91.0,1.227576129014071,0.0,-2.1,この先制限速度なし,106m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,1.0,巡航フェーズでrequired_speed未達のため力行は適切で、速度・信号超過なし、ノコギリ運転もなく不要な加速もないため最高評価とした。
56.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,2.0,惰行,1.0,70.0,70.0,9.043281346932345,70.0,2032.0804403703896,124.0,4.5146956133628695,0.0,-2.1,この先制限速度なし,239m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,巡航フェーズで必要速度70km/hに対し9km/hの低速でブレーキを続行し、惰行1秒から2秒で反転したためノコギリ運転と判定され、上限0.0点となった。
90.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,3.0,惰行,10.0,70.0,70.0,7.632848978796005,70.0,1896.65404351236,90.0,3.217528156447436,0.0,-2.1,この先制限速度なし,104m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,1.0,巡航フェーズでrequired_speed未達のため加速は適切で、速度超過・信号違反・ノコギリ運転等の問題はなし。
57.0,Train11,巡航フェーズ（駅間走行中）,ブレーキ（減速）中,3.0,惰行,1.0,70.0,70.0,6.497338874980351,70.0,2029.9256235595,123.0,2.332134818160926,0.0,-2.1,この先制限速度なし,238m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.0,ブレーキへの短時間切替と惰行からの反転がノコギリ運転と判定され、上限0.0点となったためrewardは0.0とした。
28.0,Train11,巡航フェーズ（駅間走行中）,惰行中,6.0,ブレーキ（減速）,10.0,70.0,70.0,2.5535024261227885,64.4,2069.3273402897,152.0,0.3605636434986976,0.0,-2.1,この先制限速度なし,278m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,64.4,0,normal,0.1,巡航フェーズでrequired_speed 64.4km/hに対し2.6km/hの惰行は大幅な遅延とエネルギー無駄となり、ちんたら運転と判断した。
29.0,Train11,巡航フェーズ（駅間走行中）,惰行中,7.0,ブレーキ（減速）,10.0,70.0,70.0,2.4846933302247445,65.1,2068.6276878814488,151.0,0.3413987412474011,0.0,-2.1,この先制限速度なし,277m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,65.1,0,normal,0.2,巡航フェーズで必要速度65.1km/hに対し2.5km/hの惰行で大幅に遅く、先行列車なしでCBTC余裕があるためちんたら運転とみなし0.2点とした。
32.0,Train11,巡航フェーズ（駅間走行中）,惰行中,10.0,ブレーキ（減速）,10.0,70.0,70.0,2.395375847119051,67.1,2066.609556739664,148.0,0.3173018639020539,0.0,-2.1,この先制限速度なし,275m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,67.1,0,normal,0.1,巡航フェーズで必要速度67.1km/hに対し2.4km/hの惰行は遅延拡大となり、適切な加速が欠如しているため低評価とした。
47.0,Train11,巡航フェーズ（駅間走行中）,惰行中,1.0,力行（加速）,3.0,70.0,70.0,10.868722205744865,70.0,2053.2880993311337,133.0,6.517768923521448,0.0,-2.1,この先制限速度なし,260m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0,0,,0,70.0,0,normal,0.2,巡航フェーズでrequired_speed 70km/hに対し10.9km/hの惰行はちんたら運転であり、2秒未満の保持で力行→惰行の反転がノコギリ運転と判定され、上限0.3点になるため0.2とした。
