time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
30.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,62.0,0.31,2488.0,207.1,0.0,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,前方 247.8m 先を 47.6km/h で走行中 (列車 T1),後続列車なし,1.0,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要な平均速度（約43km/h）を上回る約60km/hまで加速するのは定時到着に不可欠です。前方列車との間隔も十分確保され、ノコギリ運転は発生していません。安全・時刻・省エネの観点から適切な操作です。
31.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,63.9,3.36,2487.5,206.1,0.59,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,前方 260.6m 先を 48.4km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要な平均速度（約12 km/h）を確保するために力行を継続している点は適切です。前方列車は高速で走行中ですが、当列車は低速で距離を保っているため安全間隔は確保されています。ノコギリ運転の条件も満たさず、エネルギー面でも過剰な加速はありません。したがって現在のノッチ操作は妥当です。
32.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,65.7,6.25,2486.1,205.1,2.08,0.0,0.0,この先制限速度なし,486m先に下り勾配6.7‰あり,前方 272.8m 先を 49.2km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズでの力行は適切です。前方列車は十分離れているため安全上の問題はなく、ノコギリ運転の条件も満たしていません。省エネ面での余裕はあるものの、現在の加速は必要な速度に向かうため妥当です。
33.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,67.4,8.99,2484.0,204.1,4.33,0.0,0.0,この先制限速度なし,484m先に下り勾配6.7‰あり,前方 284.4m 先を 49.9km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守し、次駅到達に必要な平均速度≈44km/h、目標速度≈60km/hに向け加速中で適切です。先行列車との間隔も安全で、ノコギリ運転は発生せず、省エネ面でも必要加速で問題ありません。
34.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,69.0,11.59,2481.2,203.1,7.21,0.0,0.0,この先制限速度なし,481m先に下り勾配6.7‰あり,前方 295.5m 先を 50.7km/h で走行中 (列車 T1),後続列車なし,1.0,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要速度（約44km/h）に向けて力行を継続している点は適切です。前方列車との間隔も十分に確保され、ノコギリ運転や不要な減速も見られません。エネルギー効率と定時性の観点でも現在の操作は妥当です。
35.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,70.0,14.06,2477.6,202.1,10.61,0.0,0.0,この先制限速度なし,477m先に下り勾配6.7‰あり,前方 306.2m 先を 51.4km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、現在14.1km/hの状態で次駅到達に必要な平均速度44km/hに向けて加速は妥当です。前方306m先の先行列車との間隔も十分で、ノコギリ運転の条件も満たさず安全性に問題はありません。エネルギー効率や定時性も許容範囲内で、加速操作は適切と判断します。
36.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,70.0,16.39,2473.4,201.1,14.44,0.0,0.0,この先制限速度なし,473m先に下り勾配6.7‰あり,前方 316.3m 先を 52.1km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で遵守され、先行列車との間隔も十分に確保されています。次駅到達に必要な平均速度は約44km/hで、1.3‑1.4倍の目標速度は57‑62km/h程度。現在16.4km/hの加速フェーズで力行を続けることは目標速度に向けた適切な操作であり、ノコギリ運転も発生していません。エネルギー面で若干余裕はあるものの、安全性と進行性は高く評価できます。
37.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,70.0,18.61,2468.5,200.1,18.6,0.0,0.0,この先制限速度なし,468m先に下り勾配6.7‰あり,前方 326.0m 先を 52.8km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で現在18.6km/hと安全域があり、先行列車は326m先で速く走行しているため衝突リスクはなし。加速フェーズで力行を継続し、必要な巡航速度（約60km/h）に向けて適切に加速している。ノコギリ運転も発生せず、間隔・定時性も問題なし。したがって運転操作は適切と評価できる。
38.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,70.0,20.71,2463.0,199.1,23.03,0.0,0.0,この先制限速度なし,463m先に下り勾配6.7‰あり,前方 335.3m 先を 53.5km/h で走行中 (列車 T1),後続列車なし,1.0,現在は加速フェーズで、制限速度70km/h・CBTC信号70km/hを大幅に下回って走行しており、速度超過はありません。先行列車は335m先に53.5km/hで走行しているため、当列車の20.7km/hは安全な車間を保っています。残り距離と残り時間から必要な平均速度は約44km/hで、現在の加速（力行）8秒は所要速度に向けた適切な操作です。ノコギリ運転の条件も満たさず、エネルギー効率も大きな問題はありません。以上より運転操作は適切と判断します。
39.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,70.0,22.69,2457.0,198.1,27.66,0.0,0.0,この先制限速度なし,457m先に下り勾配6.7‰あり,前方 344.3m 先を 54.2km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で22.7km/hと安全域があり、先行列車はさらに高速で遠く（344m）にいるため距離確保は十分です。加速フェーズでの力行継続は必要速度を上回っており、ノコギリ運転や不必要な惰行・減速も見られません。したがって現在のノッチ操作は適切です。
40.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,10.0,なし（または停止）,0.0,70.0,70.0,24.58,2450.4,197.1,32.44,0.0,0.0,この先制限速度なし,450m先に下り勾配6.7‰あり,前方 352.9m 先を 54.9km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で24.6km/hと安全域があり、次駅到達に必要な平均速度≈45km/hを考慮すれば加速は妥当です。ノコギリ運転は発生せず、先行列車との間隔も拡大して安全です。遅延なしで定時性も確保され、エネルギー面でも過剰な加速は見られません。したがって現在の力行は適切です。
41.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,11.0,なし（または停止）,0.0,70.0,70.0,26.36,2443.4,196.1,37.31,0.0,0.0,この先制限速度なし,443m先に下り勾配6.7‰あり,前方 361.1m 先を 55.6km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で走行しており、加速フェーズで必要速度（約60km/h）に向けて力行を継続している点は適切です。前方列車は361m先に55.6km/hで走行しており、安全距離も確保されています。ノコギリ運転の条件を満たす逆転操作はなく、加速が必要なため評価は高いです。
42.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,12.0,なし（または停止）,0.0,70.0,70.0,28.06,2435.8,195.1,42.23,0.0,0.0,この先制限速度なし,435m先に下り勾配6.7‰あり,前方 369.1m 先を 56.2km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、次駅到達に必要な平均速度≈45km/hに対し現在28km/hで加速は妥当。先行列車は十分離れており安全距離も確保。ノコギリ運転の条件を満たさず、無駄な減速・惰行もないため、加速操作は適切と判断できる。
43.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,13.0,なし（または停止）,0.0,70.0,70.0,29.66,2427.8,194.1,47.17,0.0,0.0,この先制限速度なし,427m先に下り勾配6.7‰あり,前方 376.8m 先を 56.9km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で29.7km/hと安全域にあり、加速フェーズで必要速度（約45km/h）に向けて力行を継続している点は適切です。前方列車は376.8m先で56.9km/h走行中ですが、当列車は低速で間隔は拡大しており問題ありません。ノコギリ運転の条件を満たす逆転操作もなく、省エネや定時性への影響も最小です。
44.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,14.0,なし（または停止）,0.0,70.0,70.0,31.18,2419.3,193.1,52.1,0.0,0.0,この先制限速度なし,419m先に下り勾配6.7‰あり,前方 384.2m 先を 57.5km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で31.2km/hと安全域があり、次駅到達に必要な平均速度45km/hを1.3‑1.4倍した目標速度帯（約59‑63km/h）に向けて加速中です。前方384mの先行列車との間隔も十分で、ノコギリ運転は発生していません。加速を続けることはフェーズ目的に合致し、省エネ面でも過剰な力行はありません。したがって操作は適切です。
45.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,15.0,なし（または停止）,0.0,70.0,70.0,32.62,2410.5,192.1,56.99,0.0,0.0,この先制限速度なし,410m先に下り勾配6.7‰あり,前方 391.4m 先を 58.1km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で遵守しており、先行列車より遅く安全距離も確保されています。次駅到達に必要な平均速度は約45km/hで、1.3〜1.4倍の目標速度は約60km/h。加速フェーズで15秒間の力行はこの目標速度に向けた適切な加速であり、ノコギリ運転や不必要な減速は見られません。したがって現在のノッチ操作はほぼ最適です。
46.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,16.0,なし（または停止）,0.0,70.0,70.0,33.98,2401.2,191.1,61.82,0.0,0.0,この先制限速度なし,401m先に下り勾配6.7‰あり,前方 398.4m 先を 58.7km/h で走行中 (列車 T1),後続列車なし,0.9,速度は制限70km/h・CBTC信号70km/hを大きく下回っており、制限違反はなし。残り距離と時間から平均45km/hが必要で、現在34km/hの加速は所要速度に近づくため妥当。前方列車は398m先で58.7km/h走行中で、当列車は遅く安全距離が拡大している。ノコギリ運転の条件を満たす逆転操作はなく、エネルギー効率と定時性の観点でも適切と判断できる。
47.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,17.0,なし（または停止）,0.0,70.0,70.0,35.27,2391.6,190.1,66.58,0.0,0.0,この先制限速度なし,391m先に下り勾配6.7‰あり,前方 405.2m 先を 59.5km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/hで、現在速度35.3km/hは安全域内。次駅到達に必要な平均速度は約45km/hで、加速中の力行は速度不足を補う適切な操作。前方列車は405m先で59.5km/hと速く、当列車は遅く走行しているため間隔は拡大し安全。ノコギリ運転の条件も満たさず、エネルギー効率も妥当。
48.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,18.0,なし（または停止）,0.0,70.0,70.0,36.49,2381.6,189.1,71.24,0.0,0.0,この先制限速度なし,381m先に下り勾配6.7‰あり,前方 411.9m 先を 60.3km/h で走行中 (列車 T1),後続列車なし,1.0,制限速度・CBTC信号ともに遵守しており、加速フェーズで目標速度（約60km/h）に向けて力行を継続している点は適切です。前方列車は遠く速度も高く、安全距離は確保されています。ノコギリ運転の条件も満たさず、エネルギー無駄もありません。したがって現在のノッチ操作は十分に妥当です。
49.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,19.0,なし（または停止）,0.0,70.0,70.0,37.65,2371.3,188.1,75.79,0.0,0.0,この先制限速度なし,371m先に下り勾配6.7‰あり,前方 418.5m 先を 61.1km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要速度（約60 km/h）に向けて力行を継続している点は適切です。前方列車との間隔も十分で安全性に問題はなく、ノコギリ運転も発生していません。エネルギー面でも過剰な加速はなく、定時性も維持できるため、全体的に妥当な操作と言えます。
