time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
60.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,70.0,0.31,2488.0,235.1,0.0,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,前方 730.3m 先を 63.9km/h で走行中 (列車 T1),後続列車なし,1.0,制限速度・CBTC信号ともに70km/hで現在速度0.3km/hと安全域があり、加速フェーズで必要な約50km/hへ向けて力行は適切です。前方列車は730.3m先を63.9km/hで走行しており、信号速度70km/hを下回っているため衝突リスクは低く、現在の加速は信号遵守です。ノコギリ運転や過加速は見られず、定時到着に必要な加速で省エネ面でも問題ありません。
61.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,70.0,3.36,2487.5,234.1,0.59,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,前方 747.5m 先を 63.6km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で現在3.4km/hと低速。駅出発直後の加速フェーズであり、残り距離と所要時間から必要な平均速度は約38km/h、目標速度は約50km/h前後。したがって力行を継続するのは適切で、前方列車は747.5m離れて安全距離を確保。ノコギリ運転の条件も満たさず、全体的に安全かつ効率的な操作と評価できる。
62.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,70.0,6.25,2486.1,233.1,2.08,0.0,0.0,この先制限速度なし,486m先に下り勾配6.7‰あり,前方 763.8m 先を 63.4km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守し、先行列車との距離も十分に確保されています。加速フェーズで必要速度（約38km/h）に向けて加速中であり、惰行やブレーキはなく、ノコギリ運転も発生していません。安全面は問題なく、加速継続は適切です。
63.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,70.0,8.99,2484.0,232.1,4.33,0.0,0.0,この先制限速度なし,484m先に下り勾配6.7‰あり,前方 779.2m 先を 63.2km/h で走行中 (列車 T1),後続列車なし,1.0,制限速度・CBTC信号ともに70km/h以内で9km/hと安全基準を遵守しています。加速フェーズで必要速度（約38km/h）に向けて加速中であり、不要な惰行やブレーキはありません。先行列車は約780m先を高速走行しており、車間は十分確保されています。ノコギリ運転の条件も満たさず、省エネ・定時性の観点でも適切です。
64.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,70.0,11.59,2481.2,231.1,7.21,0.0,0.0,この先制限速度なし,481m先に下り勾配6.7‰あり,前方 793.9m 先を 63.0km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要速度（約50km/h）に向けて加速中です。惰行やブレーキはなく、先行列車との間隔も十分に保たれ、ノコギリ運転も発生していません。エネルギー効率と定時性の観点でも適切な操作です。
65.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,70.0,14.06,2477.6,230.1,10.61,0.0,0.0,この先制限速度なし,477m先に下り勾配6.7‰あり,前方 807.8m 先を 62.8km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で現在14.1km/hと安全域が大きく、次駅到達に必要な平均速度≈38.8km/h（目標50‑55km/h）に向けた加速は適切です。先行列車は約800m先を62.8km/hで走行しており、車間も十分です。ノコギリ運転の条件を満たす逆転操作はなく、エネルギー効率も必要加速範囲内です。したがって現在の力行は妥当です。
66.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,70.0,16.39,2473.4,229.1,14.44,0.0,0.0,この先制限速度なし,473m先に下り勾配6.7‰あり,前方 821.0m 先を 62.6km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、現在の速度は必要平均速度（約39km/h）に達していないため加速は適切です。前方列車との間隔も十分で、ノコギリ運転は発生していません。エネルギー効率も許容範囲内です。
67.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,70.0,18.61,2468.5,228.1,18.6,0.0,0.0,この先制限速度なし,468m先に下り勾配6.7‰あり,前方 833.5m 先を 62.3km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度70km/h、CBTV信号70km/hを遵守し、現在速度18.6km/hで加速フェーズ中です。先行列車は833.5m先に62.3km/hで走行しており、十分な車間が確保されています。加速を続けることは次駅到達に必要な平均速度≈39km/hを満たすために適切で、ノコギリ運転の条件も満たさないため減点要因はありません。したがって操作は適切と判断します。
68.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,70.0,20.71,2463.0,227.1,23.03,0.0,0.0,この先制限速度なし,463m先に下り勾配6.7‰あり,前方 845.3m 先を 62.1km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTCともに遵守し、加速フェーズで必要速度（約50 km/h）に向けて加速中であり、減速や惰行はなくノコギリ運転も発生していません。先行列車との間隔は十分に確保され、安全性に問題はありません。エネルギー面では若干加速が早いものの、定時到着のための加速として妥当です。
69.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,70.0,22.69,2457.0,226.1,27.66,0.0,0.0,この先制限速度なし,457m先に下り勾配6.7‰あり,前方 856.5m 先を 61.9km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度70km/h、CBTC信号70km/hを超えておらず、現在速度22.7km/hは許容範囲内です。加速フェーズで目標速度約50km/hに向けて力行を継続しており、減速や惰行はありません。先行列車は856.5m先にあり速度差で安全距離を確保。ノコギリ運転の条件も満たさず、時刻通り・省エネ的にも適切な操作と評価します。
