time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,70.0,0.31,2488.0,175.1,0.0,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70km/hで現在0.3km/hのため、加速は必要です。加速フェーズであり、速度不足を補うべきで、惰行やブレーキは不要です。前方列車もなく、ノコギリ運転の条件も満たさず、定時到着に向けて適切な操作です。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,70.0,3.36,2487.5,174.1,0.59,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,Step1で速度は制限70km/h以内、Step2でもCBTC信号70km/hを超えていないため安全は確保。加速フェーズで必要速度≈70km/hに向けて加速中であり、不要な惰行や減速はなし。ノコギリ運転の条件も満たさず、前後列車もいないため間隔問題もなし。定時性・省エネの観点でも加速は必要であり、全体的に適切な操作と判断できる。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,70.0,6.25,2486.1,173.1,2.08,0.0,0.0,この先制限速度なし,486m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,Step1: 速度は制限70km/h以内で安全。Step2: CBTC信号70km/hと一致し遵守。Step3: 駅停止は遠く、停止位置問題なし。Step4: 加速フェーズで必要平均速度≈52km/hに向けて加速中で、惰行や減速はなく適切。Step5: 逆転操作なしでノコギリ運転なし。Step6: 前後列車なしで間隔問題なし。Step7: 定時到着に必要な加速で省エネも妥当。以上より現在の力行は適切。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,70.0,8.99,2484.0,172.1,4.33,0.0,0.0,この先制限速度なし,484m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要な速度（約52km/h）に向けて加速中です。前回は停止状態で、逆転操作や短時間の切替がなくノコギリ運転は発生していません。後続・先行列車もなしで、定時遅れもなく、エネルギー的にも必要な加速であり適切です。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,70.0,11.59,2481.2,171.1,7.21,0.0,0.0,この先制限速度なし,481m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,現在速度は制限70km/h・CBTC 70km/hを大きく下回り、残り距離と時間から必要平均速度は約14.5km/hで、目標速度は約20km/h程度です。加速フェーズで力行を4秒継続していることは速度向上に適切で、減速や惰行はなく、ノコギリ運転も発生していません。先行・後続列車もなしで安全上の問題はありません。したがって運転操作は適切と評価できます。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,70.0,14.06,2477.6,170.1,10.61,0.0,0.0,この先制限速度なし,477m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要な速度（約68km/h）に向けて力行を続けている点は適切です。前後列車なし、ノコギリ運転の条件も満たさず、安全性に問題はありません。省エネ観点での余裕はまだなく、加速継続は妥当です。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,70.0,16.39,2473.4,169.1,14.44,0.0,0.0,この先制限速度なし,473m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70km/h以内で、加速フェーズにあり必要平均速度は約53km/h、目標速度は68〜74km/hと算出される。現在16.4km/hで加速（力行）を続けるのは適切で、速度超過やノコギリ運転はなく、定時性・省エネ性も確保されているため評価は最高となる。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,70.0,18.61,2468.5,168.1,18.6,0.0,0.0,この先制限速度なし,468m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,Step1: 速度18.6km/hは制限70km/h以内。Step2: CBTC信号70km/hを下回り遵守。Step3: 次駅減速フェーズではなく停止位置評価不要。Step4: 加速フェーズで必要平均速度≈53km/h、目標速度≈70km/hに向け加速中で適切。Step5: 前回停止からの切替は逆転操作に該当せず、ノコギリ運転なし。Step6: 前後列車なしで間隔評価不要。Step7: 時間的余裕はあるが目標速度達成のため加速は妥当。以上より現在の力行は適切と判断。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,70.0,20.71,2463.0,167.1,23.03,0.0,0.0,この先制限速度なし,463m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,現在速度20.7km/hは制限70km/h以内で、次駅到達に必要な平均速度は約53km/hです。加速フェーズで力行を8秒継続し、速度向上が必要なため適切です。CBTC信号違反や先行列車もなく、ノコギリ運転も発生していません。省エネ面でも必要加速であり、評価は高いです。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,70.0,22.69,2457.0,166.1,27.66,0.0,0.0,この先制限速度なし,457m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTCともに70 km/hで現在速度22.7 km/hと安全域があり、加速フェーズで力行を継続している点は適切です。前後列車なしで停止位置の問題もなく、ノコギリ運転は発生していません。定時到着に必要な平均速度≈53 km/hを考慮すれば加速は妥当で、省エネ面でも過剰な力行はありません。したがって操作は概ね適切です。
