time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,current_speed,dist_to_next_station,time_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,1.57,2487.9,155.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.4,安全面は制限速度を大幅に下回り問題なし。57km/hへの加速は適切だが、直前・現在のノッチ保持が0秒でハンチングとみなされ、乗り心地が悪く評価を下げる。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,4.58,2487.0,154.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.3,安全面は制限速度内で問題なし。必要平均速度16km/hに対し4.6km/hと遅く、加速が不足。ノッチ保持1秒は短くハンチング傾向で快適性低下。運転者好みの惰行活用前提でも加速不足で評価低め。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,7.44,2485.4,153.5,0.0,0.0,この先制限速度なし,485m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.7,安全面は制限速度内で問題なし。残距離・時間から必要平均速度≈16km/hで、現在7.4km/hは低く加速は妥当。ノッチ保持が2秒と短く、直前が停止のためハンチング感があり快適性をやや減点。運転者の加速後惰行志向と合致。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,10.15,2482.9,152.5,0.0,0.0,この先制限速度なし,482m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は問題なし。必要平均速度58.6km/hに対し加速中で適切。3秒の加速保持はハンチングなしで快適。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,12.71,2479.7,151.5,0.0,0.0,この先制限速度なし,479m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面は制限速度内で問題なし。残距離・時間から平均58.9km/hが必要で、加速4秒は速度向上に適切。ノッチ切替は少なく快適性も高く、運転者の加速後惰行志向に合致。ハンチングなし。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,15.14,2475.9,150.5,0.0,0.0,この先制限速度なし,475m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は制限速度内で問題なし。定時到達に必要な平均59km/hに向け、加速5秒は適切。ノッチ保持時間も十分で乗客への不快感は少ない。運転者の加速後惰行志向と合致。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,17.45,2471.3,149.5,0.0,0.0,この先制限速度なし,471m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は完全に守られ、必要速度59.5km/hに向け加速中で効率的。ノッチ切替は少なく快適性も高く、運転者好みと合致している。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,19.63,2466.2,148.5,0.0,0.0,この先制限速度なし,466m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面は制限速度を大幅に下回り問題なし。残距離・残時から平均約60km/hが必要で、加速継続は妥当。ノッチ切替は少なく快適性も高く、運転手の加速後惰行志向に合致。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,21.7,2460.4,147.5,0.0,0.0,この先制限速度なし,460m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全面では制限速度を大幅に下回り問題なし。残距離・時間から必要平均速度≈60km/hで、現在21.7km/hは加速が必要。8秒間の力行は適切で、ノッチ切替は少なく快適性も高い。運転者の加速後惰行志向と合致し評価は高い。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,23.65,2454.1,146.5,0.0,0.0,この先制限速度なし,454m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面では制限速度を大幅に下回り問題なし。残距離・残時刻から平均60km/hが必要で、加速継続は妥当。ノッチ切替は少なく快適性も高く、運転者好みと合致。後続列車不在で車間距離の心配もなく、エネルギー効率も適切。
