time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,70.0,0.31,2488.0,171.2,0.0,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70km/hで現在速度0.3km/h、加速フェーズで必要平均速度は約52km/h、1.3倍の約68km/hが目標。現在の力行は速度上昇に必要で、減速や惰行はなく、ノコギリ運転も発生していない。先行・後続列車もなし。安全・時刻・省エネすべて適切と判断できる。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,70.0,3.36,2487.5,170.2,0.59,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,速度は制限70km/h・信号70km/h以内で安全です。加速フェーズで必要な平均速度≈52km/hを考慮すると、70km/h付近まで加速するのは妥当です。ノコギリ運転はなく、前後列車もなしなので間隔問題もありません。省エネと定時性の観点からも適切な操作です。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,70.0,6.25,2486.1,169.2,2.08,0.0,0.0,この先制限速度なし,486m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度70km/h・CBTC信号70km/hを遵守し、現在速度6.2km/hは加速フェーズで必要速度に遠く、力行は妥当。直前の操作は停止であり、保持時間・前ノッチ時間ともに10秒未満だが、停止→力行は逆転操作に該当せずノコギリ運転はなし。先行・後続列車もなく、定時遅れ0秒で停車位置の問題も無い。エネルギー面でも過剰加速ではなく、全体的に適切な操作と判断し、0.9と評価する。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,70.0,8.99,2484.0,168.2,4.33,0.0,0.0,この先制限速度なし,484m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,Step1: 速度9 km/hは制限70 km/h・信号70 km/h内。Step2: CBTC遵守。Step3: 停止位置は未到達。Step4: 加速フェーズで必要速度≈70 km/hに向け加速中で適切。Step5: 前回は停止で逆転なし、ノコギリ運転なし。Step6‑7: 前後列車なし、定時余裕あり省エネは後で調整可。全体として現在の力行は適切。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,70.0,11.59,2481.2,167.2,7.21,0.0,0.0,この先制限速度なし,481m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,現在は加速フェーズで、速度は制限70km/h・CBTC信号70km/hを大きく下回っており、信号違反や制限超過はありません。前後列車なしで、ノコギリ運転の条件も満たさず、加速を継続することは次駅到達に必要な平均速度（約53km/h）に向けた適切な操作です。安全面・信号遵守・加速の妥当性すべてで問題がなく、評価は最高です。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,70.0,14.06,2477.6,166.2,10.61,0.0,0.0,この先制限速度なし,477m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要な速度（約70km/h）に向けて力行を継続している点は適切です。前後列車なしでノコギリ運転も発生しておらず、安全性に問題はありません。定時到着に必要な加速であり、省エネ面でも過剰な力行は見られません。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,70.0,16.39,2473.4,165.2,14.44,0.0,0.0,この先制限速度なし,473m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要速度（約54km/h）に向けて加速中です。先行列車・後続列車不在でノコギリ運転も発生していません。エネルギー効率はやや改善余地がありますが、安全・速度遵守の観点から適切な操作です。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,70.0,18.61,2468.5,164.2,18.6,0.0,0.0,この先制限速度なし,468m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で現在18.6km/hと安全に遵守しています。次駅までの平均必要速度は約54km/hで、加速フェーズでの力行は速度到達に必要です。先行・後続列車不在、ノコギリ運転の条件も満たさず、停止位置や信号違反もありません。省エネ観点で余裕はありますが、加速は妥当です。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,70.0,20.71,2463.0,163.2,23.03,0.0,0.0,この先制限速度なし,463m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要な速度（約70km/h）に向けて力行を続けている点は適切です。前後列車なしでノコギリ運転も発生しておらず、定時遅れもありません。省エネ面で若干余裕はあるものの、安全・運行上の問題はなく、加速操作は妥当です。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,70.0,22.69,2457.0,162.2,27.66,0.0,0.0,この先制限速度なし,457m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で、現在速度22.7km/hは残り距離と時間から算出される必要平均速度約54.5km/hに達していないため、加速（力行）を継続するのは適切です。先行・後続列車なし、ノコギリ運転の条件も満たさず、安全・時刻遵守の観点で問題はありません。省エネ面で若干余裕はあるものの、加速は妥当です。
