time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,70.0,0.31,2488.0,171.2,0.0,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度70km/h、CBTC信号70km/hを超えておらず、現在0.3km/hの低速で加速フェーズに入ったばかりです。力行を継続している点は必要速度（約52km/h）に達するために適切で、ノコギリ運転や不必要な惰行もありません。先行・後続列車もなく、定時到着の余裕も考慮すると、現在のノッチ操作は十分に妥当です。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,70.0,3.36,2487.5,170.2,0.59,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,Step1: 速度は制限70km/h・信号70km/h以内で安全。Step2: CBTC遵守。Step3: 停止判定対象外。Step4: 加速フェーズで目標速度(≈70km/h)に向け加速中、減速や惰行なし。Step5‑6: ノコギリ運転・間隔問題なし。Step7: 時間的余裕があり、加速は定時達成に必要で省エネ上も妥当。以上より操作は適切と判断。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,70.0,6.25,2486.1,169.2,2.08,0.0,0.0,この先制限速度なし,486m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70km/h以下で現在6.2km/hと遵守しており、加速フェーズでの力行は適切です。前方列車なしで停止位置や間隔の問題もなく、ノコギリ運転の条件も満たさないため減点要因はありません。エネルギー効率はやや改善余地がありますが、安全・運行上は適切な操作です。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,70.0,8.99,2484.0,168.2,4.33,0.0,0.0,この先制限速度なし,484m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,現在速度は制限70km/h以内でCBTV信号70km/hと一致し、次駅到達に必要な平均速度は約53km/hです。加速フェーズで力行を継続することは速度到達と定時性を確保する上で適切で、ノコギリ運転や間隔問題もなく安全上の欠点はありません。省エネ観点でも必要加速と判断できます。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,70.0,11.59,2481.2,167.2,7.21,0.0,0.0,この先制限速度なし,481m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,現在速度は制限70km/h・CBTC 70km/h以内で、次駅到達に必要な平均速度は約53km/hです。加速フェーズで力行を継続し、不要な惰行や減速がなく、先行・後続列車もなし。CBTC違反やノコギリ運転も発生せず、制限速度超過や信号無視はなく、安全性は確保されています。定時到達に向けた適切な加速で省エネ性も評価でき、現在の操作は適切です。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,70.0,14.06,2477.6,166.2,10.61,0.0,0.0,この先制限速度なし,477m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要な速度（約70km/h）に向けて力行を続けている点は適切です。先行・後続列車不在、ノコギリ運転の条件も満たさず、減速や惰行は不要です。安全性・停車位置の問題もなく、エネルギー効率も妥当です。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,70.0,16.39,2473.4,165.2,14.44,0.0,0.0,この先制限速度なし,473m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに遵守し、加速フェーズで必要速度に向けて力行を継続。ノコギリ運転は発生せず、間隔問題もなし。エネルギー効率と定時性の観点でも適切な操作です。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,70.0,18.61,2468.5,164.2,18.6,0.0,0.0,この先制限速度なし,468m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに遵守しており、速度は必要平均速度(約54km/h)の1.3‑1.4倍に相当する70km/h付近へ上げるべき加速フェーズです。現在は力行7秒で加速中で、惰行やブレーキはなく、ノコギリ運転も発生していません。先行・後続列車もなしで間隔問題もありません。安全・効率ともに適切な操作です。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,70.0,20.71,2463.0,163.2,23.03,0.0,0.0,この先制限速度なし,463m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要速度（約54km/h）に向けて加速中です。前後列車なし、ノコギリ運転の条件も満たさず、安全上の問題はありません。定時到着まで余裕があるものの、加速は必要な段階であるため適切と判断します。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,70.0,22.69,2457.0,162.2,27.66,0.0,0.0,この先制限速度なし,457m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTC信号ともに遵守され、先行列車もなし。残り距離と時間から必要平均速度は約55km/hで、目標は70km/h付近。現在22.7km/hで加速中の力行は、次駅到達に必要な速度に向けた適切な操作であり、ノコギリ運転や不必要な減速もなく、安全・定時性・省エネの観点でも問題はない。
