time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
45.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,70.0,0.31,2488.0,218.1,0.0,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,前方 451.6m 先を 47.9km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で、現在0.3km/hの加速は駅出発直後の加速フェーズに適合しています。必要平均速度は約41km/hで、1.3‑1.4倍の目標速度は約55km/h程度と見込まれ、加速を続けることは妥当です。ノコギリ運転の条件も満たさず、速度超過や停車位置の問題もありません。したがって現在の力行操作は適切です。
46.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,70.0,3.36,2487.5,217.1,0.59,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,前方 464.4m 先を 47.8km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/hで現在速度3.4km/hと十分に遵守しています。加速フェーズで必要な平均速度は約41km/hで、現在の力行は速度向上に適切です。前方列車は464m先に高速走行しており、当列車は十分な間隔を保ち安全です。ノコギリ運転の逆転操作はなく、エネルギー効率も妥当です。以上より運転操作は適切と判断します。
47.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,70.0,6.25,2486.1,216.1,2.08,0.0,0.0,この先制限速度なし,486m先に下り勾配6.7‰あり,前方 476.3m 先を 47.6km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で現在6.2km/hと低速であり、残り距離と時間から必要速度は約55km/hと算出されるため、加速フェーズでの力行は適切です。前方列車との間隔も安全域内で、ノコギリ運転の条件も満たさず、エネルギー面でも必要な加速であるため高評価とします。
48.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,70.0,8.99,2484.0,215.1,4.33,0.0,0.0,この先制限速度なし,484m先に下り勾配6.7‰あり,前方 487.4m 先を 47.5km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズでの力行は必要速度に向けた適切な操作です。前方列車は十分離れており安全距離も確保。ノコギリ運転の条件を満たさず、加速継続も妥当で省エネ面の課題はあるものの、安全・信号遵守の観点から高く評価できます。
49.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,70.0,11.59,2481.2,214.1,7.21,0.0,0.0,この先制限速度なし,481m先に下り勾配6.7‰あり,前方 497.7m 先を 47.5km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、残り距離と時間から算出した必要速度（約55 km/h）に向けて加速が必要なフェーズです。現在の力行は適切で、ノコギリ運転の条件も満たさず、先行列車との間隔も安全です。省エネ面でも加速が求められるため評価は高いです。
50.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,70.0,14.06,2477.6,213.1,10.61,0.0,0.0,この先制限速度なし,477m先に下り勾配6.7‰あり,前方 507.4m 先を 47.6km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで目標速度（約55km/h）に向けて力行を続けている点は適切です。前方列車は遠く速度も高く、追突リスクはありません。ノコギリ運転の条件を満たす逆転操作もなく、エネルギー効率はやや改善余地がありますが、安全性・フェーズ適合性は高く評価できます。
51.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,70.0,16.39,2473.4,212.1,14.44,0.0,0.0,この先制限速度なし,473m先に下り勾配6.7‰あり,前方 516.4m 先を 47.7km/h で走行中 (列車 T1),後続列車なし,1.0,現在速度は制限70km/h・CBTC信号70km/hを大きく下回っており、加速フェーズでの力行は必要平均速度約42km/hに向けた適切な加速です。前方列車は516.4m先を47.7km/hで走行しており、当列車は16.4km/hで安全な車間を保っています。ノコギリ運転の条件を満たさず、定時遅れも0秒で、エネルギー過剰使用も見られません。以上から現在のノッチ操作は適切と評価します。
52.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,70.0,18.61,2468.5,211.1,18.6,0.0,0.0,この先制限速度なし,468m先に下り勾配6.7‰あり,前方 524.8m 先を 47.7km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度70km/h・CBTC信号70km/hを大きく下回る18.6km/hで走行し、加速フェーズで目標速度（約55km/h）に向けて7秒間の力行を継続している。前方524.8mの列車は47.7km/hで走行しており、当列車は速度差により間隔は拡大、安全距離は確保されている。ノコギリ運転の条件を満たす逆転操作はなく、定時到着に必要な平均速度も確保できるため、現在の操作は適切と判断できる。
53.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,70.0,20.71,2463.0,210.1,23.03,0.0,0.0,この先制限速度なし,463m先に下り勾配6.7‰あり,前方 532.6m 先を 47.8km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、現在の速度は必要平均速度（約57km/h）に遠く、加速を続けるのは妥当です。前回は停止からの加速で、保持時間が5秒未満でもノコギリ運転の条件を満たさず減点対象外です。安全面・信号順守は良好で、加速継続は適切と判断します。
54.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,70.0,22.69,2457.0,209.1,27.66,0.0,0.0,この先制限速度なし,457m先に下り勾配6.7‰あり,前方 539.8m 先を 47.9km/h で走行中 (列車 T1),後続列車なし,1.0,現在速度22.7km/hは制限70km/h・CBTC 70km/hを大幅に下回っており、加速フェーズで必要な速度（約55km/h）に向けて力行を継続している。残り距離2457m・残り時間209.1sから算出される平均必要速度は約42km/hで、現在の加速はこの目標に向けた適切な加速である。前方列車と十分な間隔を保ち、ノコギリ運転や不必要な減速もなく、安全・時刻通りに到達するため適切な操作である。
55.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,10.0,なし（または停止）,0.0,70.0,70.0,24.58,2450.4,208.1,32.44,0.0,0.0,この先制限速度なし,450m先に下り勾配6.7‰あり,前方 546.6m 先を 47.9km/h で走行中 (列車 T1),後続列車なし,1.0,制限速度・CBTC信号ともに遵守しており、現在速度は必要平均速度（約42 km/h）を上回る55 km/h前後を目指す加速フェーズに適合。先行列車との間隔は十分で衝突リスクなし。ノコギリ運転も発生せず、エネルギー効率も妥当。したがって現在の力行は適切である。
56.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,11.0,なし（または停止）,0.0,70.0,70.0,26.36,2443.4,207.1,37.31,0.0,0.0,この先制限速度なし,443m先に下り勾配6.7‰あり,前方 552.8m 先を 48.0km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要速度（約55‑60km/h）に向けて加速中です。停止や減速はなく、ノコギリ運転も発生していません。先行列車との間隔は拡大して安全です。エネルギー面でも必要加速であり、特段の問題はありません。
