time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,ブレーキ（減速）,30.0,70.0,70.0,0.0,2178.000000000001,180.0,0.0,0.0,-2.1,この先制限速度なし,387m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70km/hで現在0km/h、加速フェーズで力行を開始した操作は適切です。直前のブレーキは30秒と長く、保持時間が10秒以上のためノコギリ運転には該当せず、速度超過や信号違反もありません。先行・後続列車がいないことから間隔問題もなく、定時遅れもないため、加速開始は安全かつ効率的と評価できます。
1.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,ブレーキ（減速）,30.0,70.0,70.0,3.1655461647722727,2177.552031426483,179.0,1.4360229636203226,0.0,-2.1,この先制限速度なし,386m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,現在速度は制限・信号内で、加速フェーズに必要な目標速度（約57〜62km/h）に向けて加速中です。前後列車なし、ノコギリ運転条件も満たさず、安全上問題はありません。エネルギー効率はやや低いものの、定時到達のため妥当です。
2.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,ブレーキ（減速）,30.0,70.0,70.0,6.166266910487602,2176.2480601784305,178.0,3.8252323424340187,0.0,-2.1,この先制限速度なし,384m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTC信号ともに70km/h以内で現在6.2km/hと安全域が大きく、加速フェーズでの力行は必要速度（約57〜62km/h）に向けた適切な操作です。前回のブレーキは30秒と長く、ノコギリ運転条件を満たさず、加速継続に減点要因はありません。したがって現在のノッチは適切です。
3.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,ブレーキ（減速）,30.0,70.0,70.0,9.01037060950777,2174.132710937684,177.0,7.013257309345573,0.0,-2.1,この先制限速度なし,381m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度・CBTCともに遵守され、次駅到着に必要な平均速度は約44km/hであり、現在9km/hの状態から加速は妥当です。直前のブレーキは30秒と長く、現在の力行は4秒でノコギリ運転条件を満たさず、不要な減速や頻繁なノッチ切替もありません。安全性・時刻遵守・エネルギー面でも問題がなく、適切な操作と評価できます。
4.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,ブレーキ（減速）,30.0,70.0,70.0,11.705695795979539,2171.248380451793,176.0,10.863988502661705,0.0,-2.1,この先制限速度なし,377m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,現在速度は制限・信号内で、次駅到達に必要な平均速度は約44km/h。加速フェーズで5秒間の力行は必要速度（約60km/h）に向けた適切な操作であり、ブレーキや惰行はなく、ノコギリ運転も発生していません。先行・後続列車もなしで安全性は確保されています。したがって運転は概ね適切です。
5.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,ブレーキ（減速）,30.0,70.0,70.0,14.259723701053257,2167.6353385103334,175.0,15.257685474202574,0.0,-2.1,この先制限速度なし,373m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,制限速度・CBTCともに70km/hで現在速度14.3km/hは安全域内。残り距離と時間から必要平均速度は約45km/h、目標速度は58〜62km/hであり、加速フェーズでの力行は適切。前後列車なしで間隔問題なし、前回ブレーキは30秒と長くノコギリ運転は発生していない。省エネ・定時性の観点でも必要な加速であり、評価は高い。
6.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,ブレーキ（減速）,30.0,70.0,70.0,16.679590829763864,2163.3318254315873,174.0,20.089261355397895,0.0,-2.1,この先制限速度なし,368m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,1.0,現在速度16.7km/hは制限70km/h・CBTC70km/hを遵守し、残距離2163.3m・残時174sから算出される必要平均速度≈44.8km/hの1.3〜1.4倍に向けて加速は適切です。直前の30秒ブレーキは10秒超えているためノコギリ運転には該当せず、先行・後続列車もなしで間隔問題はありません。定時遅延0秒で余裕があるため、無理な減速や惰行は不要です。以上より操作は妥当と判断します。
7.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,ブレーキ（減速）,30.0,70.0,70.0,18.972101512263023,2158.374146057838,173.0,25.266730186273776,0.0,-2.1,この先制限速度なし,362m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度70km/h、CBTC信号70km/hを遵守し、現在速度19km/hは残り距離と時間から算出される必要平均速度44.9km/hの1.3〜1.4倍である約60km/hに達していないため、加速フェーズでの力行は適切です。前方列車なし、ノコギリ運転もなく、安全・定時性・省エネの観点でも問題ありません。
8.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,ブレーキ（減速）,30.0,70.0,70.0,21.143740370988105,2152.7967602747963,172.0,30.709803262816266,0.0,-2.1,この先制限速度なし,356m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,現在速度は制限70km/h以内でCBTC信号とも一致し、加速フェーズで必要速度（約45km/h）に向けて力行中です。直前のブレーキは30秒続き、保持時間・前ノッチ時間ともに10秒以上あるためノコギリ運転には該当せず、先行・後続列車もなしで間隔問題もありません。安全・時刻遵守の観点から現在の力行は適切であり、評価は高いです。
9.0,Train11,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,10.0,ブレーキ（減速）,30.0,70.0,70.0,23.200684653441794,2146.6323700855482,171.0,36.348621758647695,0.0,-2.1,この先制限速度なし,349m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,制限速度70km/h、CBTC信号70km/hを大幅に下回る23.2km/hで走行中。次駅までの平均必要速度は約45km/h、目標速度は約60km/hと算出され、加速フェーズでの力行は適切。前後列車なしで信号違反もなく、ノコギリ運転の条件も満たさない。停止位置は2146.6m先でdelta_stopは正、ブレーキ未実施でも安全。定時遅延0秒、勾配-2.1‰は加速を助ける。以上より操作は適切と判断する。
