time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,current_speed,dist_to_next_station,time_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,1.57,2487.9,155.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.6,安全は問題なく必要速度に向けた加速は適切だが、直前・現在の保持時間が0秒でハンチングとみなされ快適性が低く評価される。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,4.58,2487.0,154.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は問題なし。定時に必要な平均57km/hに対し加速は必須で、速度超過もなく効率的。ノッチ保持は1秒と短いが、出発直後の加速でありハンチングとは言えず快適性への影響は小さい。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,7.44,2485.4,153.5,0.0,0.0,この先制限速度なし,485m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は問題なし。必要平均速度58km/hに向け加速は適切だが、2秒だけの力行はやや短く、次の加速継続が必要。乗り心地は良好でノッチ切替は少ない。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,10.15,2482.9,152.5,0.0,0.0,この先制限速度なし,482m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は問題なし、速度は制限内。定時到達に必要な平均58.6km/hを考慮し、加速開始は適切。ノッチ保持3秒でハンチングなし。快適性も良好。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,12.71,2479.7,151.5,0.0,0.0,この先制限速度なし,479m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.5,安全は制限内で問題なし。残距離・残時から必要平均速度は約16km/hで、現在12.7km/hと不足。加速は開始したが保持時間4秒は短く、定時到達に不十分でハンチング傾向。快適性はノッチ切替少なく良好。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,15.14,2475.9,150.5,0.0,0.0,この先制限速度なし,475m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は制限速度内で問題なし、必要平均速度≈59km/hに対し加速中で効率的。停止直後の加速は運転手好みで、ノッチ切替も少なく快適性が高い。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,17.45,2471.3,149.5,0.0,0.0,この先制限速度なし,471m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は確保され、制限速度内で定時到着に必要な平均速度へ向け加速中。ノッチ保持6秒で切替が少なく快適。効率的に目標速度へ上げる操作は好みと合致。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,19.63,2466.2,148.5,0.0,0.0,この先制限速度なし,466m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で速度超過や停止距離の問題はなく、残り距離・時間から算出した平均必要速度59.8km/hを考慮すると現在の加速は適切。ノッチ切替は少なく乗り心地も良好で、運転手の「加速後惰行」志向に合致している。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,21.7,2460.4,147.5,0.0,0.0,この先制限速度なし,460m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全面では制限速度を大きく下回り超過リスクなし。定時到達に必要な平均60km/hに対し現在21.7km/hで加速は必須で、力行継続は適切。ノッチ切替は停止→加速の一回だけでハンチングなし。加速がやや遅く効率はやや低めだが、全体として妥当な操作と判断する。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,23.65,2454.1,146.5,0.0,0.0,この先制限速度なし,454m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は問題なく、制限70km/hを超えていない。定時到着に必要な平均60km/hに向け加速中で、ノッチ保持は9秒と安定しておりハンチングはなし。運転手の加速志向と合致し快適性も高い。
10.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,10.0,なし（または停止）,0.0,70.0,25.51,2447.3,145.5,0.0,0.0,この先制限速度なし,447m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面では速度は制限内で減速不要。残距離・残時から必要平均速度≈60km/hで、現在25.5km/hは不足。10秒の加速は必要で、過剰なノッチ切替もなく快適。運転者の加速志向と合致し、次駅到達の遅延リスクも低く、効率的に走行できる。
11.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,11.0,なし（または停止）,0.0,70.0,27.26,2440.0,144.5,0.0,0.0,この先制限速度なし,439m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は制限内で問題なし。残距離・時間から平均60.8km/h必要で、現在加速中は適切。ノッチ切替は少なく快適で、ハンチングもなし。
12.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,12.0,なし（または停止）,0.0,70.0,28.93,2432.2,143.5,0.0,0.0,この先制限速度なし,432m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で速度超過なし、前方列車なし。残距離・時間から必要平均速度≈61km/hで、現在加速中は適切。ノッチ保持12秒で切替少なく快適性も高く、運転手の加速後惰行志向に合致。
