time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,current_speed,dist_to_next_station,time_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,1.57,2487.9,155.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で速度超過や停止距離の問題はなく、必要平均速度57km/hを達成するため加速開始は適切。ノッチ切替はまだなく快適性も良好。効率的に加速しているため高評価。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,4.58,2487.0,154.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は確保され速度は制限内。次駅到達に必要な平均57.9km/hに向け加速開始は適切。ノッチ切替は1回だけでハンチングなし。効率・快適性も概ね良好。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,7.44,2485.4,153.5,0.0,0.0,この先制限速度なし,485m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は確保され速度は制限内。必要平均58km/hに向け加速は適切だが、2秒の短い保持は若干ハンチング感あり。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,10.15,2482.9,152.5,0.0,0.0,この先制限速度なし,482m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全面は制限速度内で問題なし。残距離・残時間から平均58km/h必要で、加速継続は適切。ノッチ切替は1回のみで快適性も高く、ハンチングはなし。運転者好みの惰行活用はまだ先だが、現段階で妥当。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,12.71,2479.7,151.5,0.0,0.0,この先制限速度なし,479m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全面では制限速度70km/hを超えておらず、停止距離の確保も問題なし。残距離2479.7m・残時151.5sから必要平均速度は約58.9km/hで、現在の加速は速度到達に向けて適切。ノッチ保持時間4秒は十分でハンチングなし。加減速回数も少なく快適性高く、運転者の加速後惰行志向にも合致している。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,15.14,2475.9,150.5,0.0,0.0,この先制限速度なし,475m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は確保され速度は制限内。平均59km/h必要で加速継続は適切。5秒保持は短すぎず快適。運転者好みと合致。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,17.45,2471.3,149.5,0.0,0.0,この先制限速度なし,471m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で速度超過や停止距離の問題はなく、必要平均速度59.5km/hに向けて加速中で適切。ノッチ切替は少なく快適性も高く、運転者の加速後惰行方針に合致。後続列車なしで無理な減速も不要、効率と快適性が保たれる。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,19.63,2466.2,148.5,0.0,0.0,この先制限速度なし,466m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全に制限内で速度超過なし。残り距離・時間から必要平均速度≈60km/hで、加速継続は適切。ノッチ保持7秒でハンチングなし、乗り心地も良好。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,21.7,2460.4,147.5,0.0,0.0,この先制限速度なし,460m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,速度は制限内で安全、残距離・残時刻から平均60km/hが必要なため8秒の加速は適切。ノッチ保持時間も十分でハンチングなし。運転好みと合致し高評価。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,23.65,2454.1,146.5,0.0,0.0,この先制限速度なし,454m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.7,安全は制限速度を大幅に下回り問題なし。残距離・時間から必要平均速度≈60km/hで、現在23.7km/hは不足しているため加速は妥当。ノッチ切替は少なく快適性も良好。
