time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
45.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,70.0,0.31,2488.0,218.1,0.0,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,前方 469.0m 先を 58.1km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で、現在0.3km/hの加速は許容範囲です。前方列車は58.1km/hで469m先にあり、速度超過や衝突リスクはありません。加速フェーズでの力行は必要速度（約41km/h）に向けた適切な操作で、ノコギリ運転の条件も満たさず、省エネ・安全性ともに問題はありません。
46.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,70.0,3.36,2487.5,217.1,0.59,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,前方 484.7m 先を 58.7km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守され、現在3.4km/hの低速で加速フェーズにあるため、次駅到達に必要な平均速度（約55km/h）へ向けた加速は適切です。前方列車との間隔は十分に確保され、ノコギリ運転の条件も満たさず、定時性・省エネ性の観点でも問題ありません。
47.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,70.0,6.25,2486.1,216.1,2.08,0.0,0.0,この先制限速度なし,486m先に下り勾配6.7‰あり,前方 499.8m 先を 59.5km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに70km/h以内で現在6.2km/hと安全です。加速フェーズで必要速度（約15km/h）に向けて加速中で、ノコギリ運転や不必要な減速はなく、先行列車との間隔も十分です。省エネ面でも必要加速であり適切です。
48.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,70.0,8.99,2484.0,215.1,4.33,0.0,0.0,この先制限速度なし,484m先に下り勾配6.7‰あり,前方 514.3m 先を 60.3km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで力行を継続している点は適切です。速度はまだ低く、次駅到達に必要な平均速度に向けた加速が始まった段階で、ノコギリ運転や不必要な減速は見られません。先行列車との間隔も十分に確保されており、安全性・信号順守の観点から高評価です。
49.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,70.0,11.59,2481.2,214.1,7.21,0.0,0.0,この先制限速度なし,481m先に下り勾配6.7‰あり,前方 528.3m 先を 61.1km/h で走行中 (列車 T1),後続列車なし,1.0,現在は加速フェーズで制限速度70km/h、信号速度70km/hを大幅に下回る11.6km/hです。次駅到達に必要な平均速度は約42km/hで、1.3倍の55km/h前後が目標となります。先行列車は528m先にあり速度も高く、距離的余裕があるため加速は適切です。ノコギリ運転もなく、安全・定時性・省エネの観点からも評価は高いです。
50.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,70.0,14.06,2477.6,213.1,10.61,0.0,0.0,この先制限速度なし,477m先に下り勾配6.7‰あり,前方 541.8m 先を 61.9km/h で走行中 (列車 T1),後続列車なし,1.0,制限速度・CBTC信号ともに遵守しており、次駅到達に必要な平均速度（約42km/h）に向けて加速中である。残り距離2477.6m、残り時間213.1秒から算出した必要平均速度は約42km/hで、現在の14.1km/hは加速余地が十分にある。先行列車との間隔は541.8mと十分確保され、ノコギリ運転も発生していない。下り勾配は477m先であるが、現段階では影響は小さく、加速継続は時刻通りの走行に必要であり、安全・効率の観点から適切と判断できる。
51.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,70.0,16.39,2473.4,212.1,14.44,0.0,0.0,この先制限速度なし,473m先に下り勾配6.7‰あり,前方 554.9m 先を 62.7km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、現在速度は次駅到達に必要な平均速度（約42km/h）に遠く及ばないため、加速フェーズでの力行は適切です。前方列車との間隔も十分に確保され、ノコギリ運転も発生していません。エネルギー面でも必要な加速であり、定時性への影響もありません。
52.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,70.0,18.61,2468.5,211.1,18.6,0.0,0.0,この先制限速度なし,468m先に下り勾配6.7‰あり,前方 567.6m 先を 63.5km/h で走行中 (列車 T1),後続列車なし,0.8,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要速度に向けて力行を継続している点は適切です。先行列車との間隔も十分で安全です。ただし、停止直後から7秒未満で力行に切り替えたため、保持時間5〜10秒のノコギリ運転とみなされ、エネルギー効率面で小幅な減点となります。
53.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,70.0,20.71,2463.0,210.1,23.03,0.0,0.0,この先制限速度なし,463m先に下り勾配6.7‰あり,前方 579.8m 先を 64.2km/h で走行中 (列車 T1),後続列車なし,1.0,現在速度20.7km/hは制限70km/h・CBTC 70km/hを遵守しており、次駅到達に必要な平均速度≈42km/h、目標速度≈55km/hに向け加速は適切。前方列車は579.8m先で64km/h走行中で車間は十分確保され、ノコギリ運転も発生していない。定時性・省エネ面でも加速継続は妥当であるため評価は最高とする。
54.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,70.0,22.69,2457.0,209.1,27.66,0.0,0.0,この先制限速度なし,457m先に下り勾配6.7‰あり,前方 591.7m 先を 65.0km/h で走行中 (列車 T1),後続列車なし,1.0,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要速度（約55 km/h）に向けて力行を継続している点は適切です。前方列車は600 m以上離れており、速度差も安全範囲内です。ノコギリ運転は発生せず、エネルギー無駄もありません。したがって現在のノッチ操作は高く評価できます。
55.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,10.0,なし（または停止）,0.0,70.0,70.0,24.58,2450.4,208.1,32.44,0.0,0.0,この先制限速度なし,450m先に下り勾配6.7‰あり,前方 603.2m 先を 65.0km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズで必要な平均速度（約42km/h）に向けて24.6km/hから加速している点は適切です。前方列車は603m離れており速度差も安全範囲内で、ノコギリ運転は発生していません。エネルギー効率も余裕があるため問題ありません。
56.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,11.0,なし（または停止）,0.0,70.0,70.0,26.36,2443.4,207.1,37.31,0.0,0.0,この先制限速度なし,443m先に下り勾配6.7‰あり,前方 614.2m 先を 64.8km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、加速フェーズでの力行は適切です。前方列車との間隔は十分でノコギリ運転も発生していません。現在速度はまだ低いものの、残り距離と時刻から見て更なる加速が必要な段階であり、安全性・定時性の観点から問題はありません。
57.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,12.0,なし（または停止）,0.0,70.0,70.0,28.06,2435.8,206.1,42.23,0.0,0.0,この先制限速度なし,435m先に下り勾配6.7‰あり,前方 624.6m 先を 64.5km/h で走行中 (列車 T1),後続列車なし,0.9,現在速度28.1km/hは制限70km/h・CBTC70km/hを遵守しており、先行列車624.6m先を64.5km/hで走行中で安全距離も確保。加速フェーズで力行を継続し、不要な惰行やブレーキはなく、ノコギリ運転も発生していない。定時到着に必要な平均速度を考慮すれば加速は適切である。
58.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,13.0,なし（または停止）,0.0,70.0,70.0,29.66,2427.8,205.1,47.17,0.0,0.0,この先制限速度なし,427m先に下り勾配6.7‰あり,前方 634.5m 先を 64.3km/h で走行中 (列車 T1),後続列車なし,0.9,制限速度・CBTC信号ともに遵守しており、先行列車との安全距離も確保されています。加速フェーズでの力行は必要速度に向けた適切な操作で、ノコギリ運転や不必要な惰行・減速は見られません。したがって現在のノッチは概ね適切です。
