time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,current_speed,dist_to_next_station,time_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
0.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,1.57,2487.9,155.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.7,安全は問題なく、制限内で定時に必要な平均57.6km/hに向け加速は適切だが、直前・現在の保持時間が0秒でハンチング傾向があり快適性が低下。
1.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,4.58,2487.0,154.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は問題なく、必要速度に向けた加速は適切だが、1秒だけのノッチ保持はハンチング傾向で快適性を低下させる。
2.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,7.44,2485.4,153.5,0.0,0.0,この先制限速度なし,485m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は完全に確保され、速度は制限内で定時到達に必要な平均58km/hに向け加速は適切。ノッチ切替は1回だけでハンチングなし。効率的に惰行へ移行できる点も好ましい。
3.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,10.15,2482.9,152.5,0.0,0.0,この先制限速度なし,482m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は問題なく、次駅到達に必要な平均58.7km/hに向け加速は適切。保持時間3秒は短すぎずハンチングなし。快適性も良好。
4.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,12.71,2479.7,151.5,0.0,0.0,この先制限速度なし,479m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は制限速度内で前方列車なし、減速不要。残距離・時間から平均58.9km/h必要で、加速開始は適切。ノッチ切替はまだなく快適性も良好。持続時間4秒は短すぎずハンチングもなく、エネルギー効率も妥当。運転者の加速後惰行志向に合致し高評価。
5.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,15.14,2475.9,150.5,0.0,0.0,この先制限速度なし,475m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は完全に確保され、速度は制限内で次駅到達に必要な平均59km/hに向け加速は妥当。ノッチ切替は少なく快適性も高く、効率的にエネルギーを使用しているため高評価。
6.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,17.45,2471.3,149.5,0.0,0.0,この先制限速度なし,471m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全面では制限速度を守り前方列車もなく問題なし。残り距離・時間から必要平均速度≈60km/hで、現在は加速中で速度不足だが加速開始は適切。ノッチ切替はなく快適性も高く、運転者の好みと合致。
7.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,19.63,2466.2,148.5,0.0,0.0,この先制限速度なし,466m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は完全に守られ、必要速度≈60km/hに向け加速は適切。前後のノッチ切替はなく快適性も高く、運転手の加速志向に合致。
8.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,21.7,2460.4,147.5,0.0,0.0,この先制限速度なし,460m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は制限速度内で問題なし。残距離2460m・残時間147.5sから必要平均速度≈60km/hと算出され、現在の加速は定時到達に必須で効率的。ノッチ切替は1回のみでハンチングなし、乗り心地も良好。運転者の加速後惰行志向と合致している。
9.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,23.65,2454.1,146.5,0.0,0.0,この先制限速度なし,454m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で制限速度超過なし、停止距離確保も問題なし。必要平均速度60km/hに対し加速中で適切。ノッチ保持時間9秒でハンチングなし、乗り心地良好。運転者の加速後惰行志向にも合致。今後の減速タイミングも計画的に行えば更に最適。
10.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,10.0,なし（または停止）,0.0,70.0,25.51,2447.3,145.5,0.0,0.0,この先制限速度なし,447m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は問題なし、速度は制限内で定時に必要な平均速度に向け加速中。ノッチ切替は少なく快適。効率的に加速しており好みと合致。
11.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,11.0,なし（または停止）,0.0,70.0,27.26,2440.0,144.5,0.0,0.0,この先制限速度なし,439m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で速度超過や列車間隔の問題はなく、定時到達に必要な平均60.8km/hを考慮すると加速は妥当。ノッチ切替は一度だけで快適性も高く、運転者の加速後惰行志向に合致。総合的に見て適切な操作と判断できる。
12.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,12.0,なし（または停止）,0.0,70.0,28.93,2432.2,143.5,0.0,0.0,この先制限速度なし,432m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面では制限速度を大幅に下回り超過リスクなし。残距離・残時間から平均61km/h必要で、加速継続は効率的。ノッチ切替は少なく快適性も高く、ハンチングは発生していない。今後も制限内で加速を続ければ定時到着が期待できる。
13.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,13.0,なし（または停止）,0.0,70.0,30.5,2423.9,142.5,0.0,0.0,この先制限速度なし,423m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は確保され速度は制限内。定時到達に必要な平均61km/h未達のため加速継続は妥当。ノッチ切替はなく快適性も高く、運転者好みと合致。
14.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,14.0,なし（または停止）,0.0,70.0,31.99,2415.2,141.5,0.0,0.0,この先制限速度なし,415m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全に制限内で、残距離・時間から必要平均61km/hに向け加速は妥当。ノッチ保持14sでハンチングなし、乗り心地良好。効率的に速度上げている点も好みと合致。
15.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,15.0,なし（または停止）,0.0,70.0,33.4,2406.2,140.5,0.0,0.0,この先制限速度なし,406m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.8,安全は制限内で問題なし。定時に必要な平均61.7km/hに対し現在33.4km/hで加速中で適切。ノッチ保持15sでハンチングなし。快適性も高く、運転者好みと合致。
16.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,16.0,なし（または停止）,0.0,70.0,34.74,2396.7,139.5,0.0,0.0,この先制限速度なし,396m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全は確保され速度は制限内。定時到達に必要な平均61.9km/hに対し34.7km/hと低く、加速継続は妥当。ノッチ切替はなく快適性も良好。
17.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,17.0,なし（または停止）,0.0,70.0,36.0,2386.9,138.5,0.0,0.0,この先制限速度なし,386m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面で速度超過なし、停止距離余裕。残距離・残時間から必要平均速度62km/hに達するため加速は適切で、エネルギー無駄も少ない。ノッチ切替はなく快適性高く、運転手の加速後惰行志向にも合致。
18.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,18.0,なし（または停止）,0.0,70.0,37.2,2376.7,137.5,0.0,0.0,この先制限速度なし,376m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全に制限速度70km/hを下回り、次駅到達に必要な平均62km/hに向けて加速を続けている。ノッチの保持時間は長く、切替は少なく快適性も高い。ハンチングは発生していない。
19.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,19.0,なし（または停止）,0.0,70.0,38.33,2366.2,136.5,0.0,0.0,この先制限速度なし,366m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.7,安全は制限速度内で問題なし。19秒間の連続加速でノッチ切替少なく快適。だが残距離・時間から必要平均速度62km/hに対し現在38km/hと不足し、効率が低く遅延リスクあり。
20.0,T1,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,20.0,なし（または停止）,0.0,70.0,39.4,2355.4,135.5,0.0,0.0,この先制限速度なし,355m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全に制限内で加速し、定時到達に必要な平均速度62.6km/hを満たすため加速継続は適切。ノッチ切替は少なく快適で、運転手の加速後惰行方針にも合致している。
21.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,21.0,なし（または停止）,0.0,70.0,40.42,2344.3,134.5,0.0,0.0,この先制限速度なし,344m先に下り勾配6.7‰あり,先行列車なし,後続列車なし,0.9,安全面は制限内で問題なし。残距離・残時間から平均62.8km/hが必要で、現在40.4km/hのため加速は妥当。加速が21秒続きノッチ切替は少なく快適性も高く、運転手の好みと合致。
