time,train_id,group_phase,group_notch,group_delay,group_hunting,current_speed,speed_limit,signal_speed,dist_to_next_station,time_to_next_station,delay,holding_time,prev_notch_duration,hunting_score,llm_reward,nn_output,abs_error,reason
355.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,14.0,0.0,20.0,5.0,15.0,0.0,0.0,1.0,1.0,駅手前で停止し位置誤差14mで早すぎるブレーキ継続、停止位置達成不可かつ20秒遅延で定時性と省エネ性が著しく損なわれたため0.0と判断。
340.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,11.0,0.0,20.0,5.0,25.0,0.0,0.0,1.0,1.0,停止位置が要求位置から11m離れており、駅停車完了フェーズで早すぎる停止となるためrewardを0.0とした。
336.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,11.0,0.0,20.0,1.0,15.0,0.0,0.0,1.0,1.0,駅停車完了で列車が駅手前11mで停止し、許容誤差10mを超えているため即座に0.0の評価となる。
357.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,14.0,0.0,20.0,1.0,25.0,0.0,0.0,1.0,1.0,駅停車完了フェーズで速度0km/hにもかかわらずブレーキを継続し、14m手前で停止位置誤差が10m超えているため、停止完了基準を満たさず0.0点とした。
65.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,15.0,0.0,40.0,5.0,15.0,0.0,0.0,1.0,1.0,駅停車完了で15m手前に停止しブレーキ継続は停止位置未達成かつ遅延拡大となり、評価は0.0とする。
358.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,14.0,0.0,20.0,5.0,25.0,0.0,0.0,1.0,1.0,駅停車完了で速度0km/hのまま14m手前に停止し、停止位置誤差が10m超のためrewardを0.0とした。
373.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,18.0,0.0,20.0,5.0,15.0,0.0,0.0,1.0,1.0,駅停車完了フェーズで停止位置が18m離れており、ブレーキ継続は不適切で、停止位置誤差が10m超のためrewardは0.0とした。
372.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,18.0,0.0,20.0,1.0,15.0,0.0,0.0,1.0,1.0,駅停車完了で18mの停止位置誤差があり、不要なブレーキを継続しているため、誤差基準によりreward=0.0とした。
3119.6,T1,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,11.6,0.0,27.0,0.0,20.8,0.0,0.0,1.0,1.0,駅停車完了なのに停止位置が駅から11.6m離れており、即時0点ルールに該当するためrewardは0.0とした。
447.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,遅延なし,ノコギリ疑いあり,1.55,70.0,70.0,2487.9,175.1,0.0,0.4,0.0,0.92,0.0,1.0,1.0,0.4秒の力行切替が短時間で反転し、条件1〜4を満たすノコギリ運転と判定され、上限が0.0点となったため。
1937.2,T1,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,80.0,80.0,8.0,0.0,22.4,0.0,19.3,0.0,0.0,1.0,1.0,駅停車完了で停止位置が1mを超えてずれ、即reward0.0ルールに該当するため0.0とした。
70.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,20.0,0.0,40.0,1.0,15.0,0.0,0.0,1.0,1.0,駅停車完了で停止位置が20m手前にあり、誤差が10m超のため評価は0.0とした。
354.0,Train11,駅停車完了（速度0km/h）,ブレーキ（減速）中,遅延10秒超,なし,0.0,70.0,70.0,14.0,0.0,20.0,1.0,15.0,0.0,0.0,1.0,1.0,駅停車完了で停止位置が14m離れ、誤差が10m超えているため、即0点とし、遅延と位置ずれが重大な問題と判断した。
