time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,mode,reward,reason
198.0,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,18.0,惰行,6.0,70.0,70.0,69.99,70.0,366.3,0.0,235.47522175830085,19.0,6.1,この先制限速度なし,176m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.2,遅延回復モードで制限速度付近にいるのに力行を続けて過剰加速となり、制限超過リスクと遅延回復効果の欠如で評価を大幅に減点した。
159.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,8.0,惰行,6.0,70.0,70.0,67.33,70.0,772.4,21.0,235.9274053094269,0.0,0.0,この先制限速度なし,182m先に上り勾配6.1‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.9,遅延回復モードで制限速度付近の力行が続き、現在速度が制限速度−3km/h以上となり過剰加速と判断されたため減点。
187.0,Train11,巡航フェーズ（駅間走行中）,惰行中,1.0,力行（加速）,10.0,70.0,70.0,70.03,70.0,446.8,0.0,235.7378388405899,8.0,6.1,この先制限速度なし,256m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,1.0,遅延回復モードで制限速度付近を惰行し、速度・信号遵守、ノコギリ運転なし、即0.0条件不在のため最高評価とした。
115.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,8.0,惰行,7.0,70.0,70.0,69.02,70.0,1237.8,65.0,247.60835613781933,0.0,0.0,この先制限速度なし,247m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.3,遅延回復モードで制限速度付近(限界-1km/h)に力行を続け過剰加速とみなされるため減点し0.3とする。
154.0,Train11,巡航フェーズ（駅間走行中）,惰行中,4.0,力行（加速）,45.0,70.0,70.0,69.66,70.0,1195.9,26.0,252.10027244186875,0.0,0.0,この先制限速度なし,205m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,1.0,遅延回復モードで制限速度付近を惰行し、速度・CBTC・安全基準をすべて遵守しているため高評価。
206.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,1.0,惰行,6.0,70.0,70.0,67.4,70.0,464.5,0.0,218.7620135406146,27.0,6.1,この先制限速度なし,274m先に上り勾配9.2‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.2,遅延回復モードで速度が制限速度付近に達しているのに力行を続け、さらにノコギリ運転（1秒の加速後6秒の惰行）となっているため減点し、reward 0.2とする。
122.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,41.0,惰行,6.0,70.0,70.0,67.07,70.0,1442.9,58.0,234.15365790087318,0.0,0.0,この先制限速度なし,452m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.9,遅延回復モードで制限速度付近の力行を継続し、速度が制限速度‑3km/h以上‑10km/h以下の帯内に収まり安全基準を満たすため高評価。
120.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,61.0,ブレーキ（減速）,30.0,70.0,70.0,69.22,70.0,1422.5,60.0,249.0080559265869,0.0,0.0,この先制限速度なし,432m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,delay_recovery,0.2,現在速度が制限速度付近(69.2km/h)で力行を続けており、過剰加速と判断され減点対象となるためrewardは0.2とした。
130.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,3.0,惰行,6.0,70.0,70.0,69.51,70.0,1229.9,50.0,251.0441198719211,0.0,0.0,この先制限速度なし,239m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,normal,1.0,required_speed未達で加速は必要かつ適切、速度は制限内・CBTC遵守、ノコギリ運転なし、遅延0で省エネ的にも問題なし。
111.0,Train11,巡航フェーズ（駅間走行中）,力行（加速）中,11.0,惰行,6.0,70.0,70.0,68.08,70.0,1319.5,69.0,241.07887231470238,0.0,0.0,この先制限速度なし,329m先に上り勾配12.5‰あり,先行列車なし,後続列車なし,0.0,0.0,,0.0,70.0,0.0,normal,1.0,required_speed未達で加速中、制限速度・CBTC信号遵守、ノコギリ運転なし、適切な巡航運転のため高評価。
