time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,current_speed,dist_to_next_station,time_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,reward,reason
60.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,0.0,なし（または停止）,0.0,70.0,1.57,2487.9,215.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,前方 744.3m 先を 68.3km/h で走行中 (列車 T1),後続列車なし,0.5,安全は問題なし、必要速度に向け加速は適切だが、直前・現在のノッチ保持時間が0秒でハンチングとみなされ快適性が低く評価される。
61.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,1.0,なし（または停止）,0.0,70.0,4.58,2487.0,214.5,0.0,0.0,この先制限速度なし,487m先に下り勾配6.7‰あり,前方 762.5m 先を 68.7km/h で走行中 (列車 T1),後続列車なし,0.6,安全は制限速度以下で先行列車との距離も確保。必要平均速度に向け加速は適切だが、ノッチ保持が1秒と短くハンチング傾向があり快適性が低下。
62.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,2.0,なし（または停止）,0.0,70.0,7.44,2485.4,213.5,0.0,0.0,この先制限速度なし,485m先に下り勾配6.7‰あり,前方 780.0m 先を 69.2km/h で走行中 (列車 T1),後続列車なし,0.8,安全面では制限速度を大幅に下回り前方列車との距離も十分で問題なし。残距離・残時刻から平均42km/hが必要で、加速開始は妥当。加速保持時間2秒は短すぎずハンチングもなく快適性も良好。効率面で無駄な加速はなく、定時到達に向けた適切な力行と判断できる。
63.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,3.0,なし（または停止）,0.0,70.0,10.15,2482.9,212.5,0.0,0.0,この先制限速度なし,482m先に下り勾配6.7‰あり,前方 796.8m 先を 69.6km/h で走行中 (列車 T1),後続列車なし,0.8,安全面で制限超過なし、前方列車との距離確保。必要平均速度42km/hに対し加速中で適切。ノッチ保持3秒は短すぎずハンチングなし。快適性も良好で、運転手の好みと合致。
64.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,4.0,なし（または停止）,0.0,70.0,12.71,2479.7,211.5,0.0,0.0,この先制限速度なし,479m先に下り勾配6.7‰あり,前方 813.0m 先を 70.0km/h で走行中 (列車 T1),後続列車なし,0.9,安全は制限内で前方列車との距離も十分。定時に必要な平均42km/hを考えると加速は適切。ノッチ切替は少なく快適性も高く、運転好みと合致。
65.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,5.0,なし（または停止）,0.0,70.0,15.14,2475.9,210.5,0.0,0.0,この先制限速度なし,475m先に下り勾配6.7‰あり,前方 828.5m 先を 69.8km/h で走行中 (列車 T1),後続列車なし,0.9,安全に制限内、前方列車との距離確保、必要平均速度達成のため加速で適切。ノッチ切替は少なく快適。
66.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,6.0,なし（または停止）,0.0,70.0,17.45,2471.3,209.5,0.0,0.0,この先制限速度なし,471m先に下り勾配6.7‰あり,前方 843.4m 先を 69.5km/h で走行中 (列車 T1),後続列車なし,0.8,安全は制限速度未超過、前方列車との距離も十分。残距離・時間から平均42.5km/hが必要で、6秒の加速は定時到達に適切。過加速やノッチ切替の頻度も低く快適。運転者の加速後惰行志向に合致し高評価。
67.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,7.0,なし（または停止）,0.0,70.0,19.63,2466.2,208.5,0.0,0.0,この先制限速度なし,466m先に下り勾配6.7‰あり,前方 857.5m 先を 69.3km/h で走行中 (列車 T1),後続列車なし,0.8,安全は制限内で前方列車との距離も確保。平均42.6km/h必要だが現在19.6km/hで加速継続は妥当。ノッチ切替は少なく快適。
68.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,8.0,なし（または停止）,0.0,70.0,21.7,2460.4,207.5,0.0,0.0,この先制限速度なし,460m先に下り勾配6.7‰あり,前方 870.9m 先を 69.0km/h で走行中 (列車 T1),後続列車なし,0.8,加速開始直後で速度は制限内、前方列車との距離安全、必要平均速度に向け加速は適切。ノッチ切替は少なくハンチングもなく、快適かつ効率的な操作と評価できる。
69.0,T2,駅出発直後の加速フェーズ（20秒以内）,力行（加速）中,9.0,なし（または停止）,0.0,70.0,23.65,2454.1,206.5,0.0,0.0,この先制限速度なし,454m先に下り勾配6.7‰あり,前方 883.8m 先を 68.8km/h で走行中 (列車 T1),後続列車なし,0.8,安全面は制限内・前方列車との距離確保、効率は必要平均速度42.8km/hに向け加速適切、快適はノッチ切替少なく好みと合致。現在の加速保持時間9秒は適切で、ハンチングなし。評価は高め。
