time,train_id,group_phase,group_notch,current_speed,signal_speed,speed_limit,dist_to_next_station,req_stop_dist,delta_stop,delay,f_exist,f_distance,rule_expected,rule_reason,llm_reward,nn_output,reason
170.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.12,70.0,70.0,386.3,218.99,167.31,0.0,1.0,334.9,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,0.8,0.5,次駅減速フェーズで先行列車がいるため加速は許容だが、到着まで余裕が大きく省エネ性が低く評価し減点する。
171.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.36,70.0,70.0,367.6,220.55,147.05,0.0,1.0,325.0,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.5,先行列車が在りCBTC信号に従い加速が許容され、速度制限・信号超過なしで停止位置も十分に確保できるため高評価。
172.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.6,70.0,70.0,348.9,222.08,126.81999999999996,0.0,1.0,314.1,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.5,先行列車が存在しCBTC信号に従う加速が許容され、速度超過や停止位置リスクがなく安全に減速できるため高評価としreward=1.0とした。
173.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.83,70.0,70.0,330.1,223.59,106.51000000000002,0.0,1.0,302.3,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.5,先行列車が前方にありdelta_stopが正なので、加速は許容され適切であり、他項目に問題なし。
178.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,63.77,65.2,70.0,237.1,193.0,44.099999999999994,0.0,1.0,232.5,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,1.0,0.3,全ての上位評価項目で制限速度・CBTC信号遵守、適切な減速操作で停止位置も確保でき、ノコギリ運転なしと判断し最高評価とした。
179.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,60.73,62.5,70.0,219.8,175.55,44.25,0.0,1.0,217.4,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,1.0,0.3,制限速度・CBTC信号を遵守し、適切にブレーキを掛けて安全に停止できるため最高評価とした。
215.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,3.55,16.1,70.0,47.0,0.61,46.39,0.0,1.0,52.6,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.7,先行列車が適切な間隔で走行し、CBTC信号を遵守しつつ加速が必要と判断され、全項目で問題がなく評価は最高点とした。
216.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,6.12,17.4,70.0,45.7,1.81,43.89,0.0,1.0,54.6,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.7,加速はCBTC信号速度内で行われ、先行列車との間隔も安全で停車位置も確保できるため高評価とし、reward=1.0とする。
217.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,8.55,18.5,70.0,43.6,3.53,40.07,0.0,1.0,56.5,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.7,先行列車がCBTC信号に従い速度制限内で、delta_stopが正のため加速が必要と判断され、現在の力行は適切と評価した。
218.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,10.86,19.6,70.0,40.9,5.69,35.21,0.0,1.0,58.4,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.6,先行列車が近くCBTC信号が低速である中、加速は信号遵守かつ停止位置は十分確保できているため適切と判断し高評価。
219.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,13.05,20.6,70.0,37.6,8.21,29.39,0.0,1.0,60.3,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,0.8,0.6,次駅減速フェーズで先行列車がいるにも関わらず、required_speedが0km/hであるのに力行を続けたため省エネ性が低く評価し、0.8点とした。
220.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,15.12,21.5,70.0,33.7,11.03,22.67,0.0,1.0,62.2,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.7,先行列車が近くCBTC信号速度以下で加速しており、delta_stop>0で停止位置も確保できるため、現在の力行は適切と判断した。
221.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,17.09,22.4,70.0,29.2,14.07,15.129999999999999,0.0,1.0,64.1,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.7,CBTC信号遵守で速度が制限以下かつ加速は信号許容範囲内、停止位置も確保できるため評価は高く1.0とした。
222.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,18.96,70.0,70.0,24.2,17.3,6.899999999999999,0.0,1.0,66.0,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.7,先行列車が存在しCBTC信号に従い、delta_stop>0で加速は許容され、速度超過やノコギリ運転はなく、停止位置も確保できるため評価は高く1.0とした。
404.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,20.43,21.2,80.0,46.3,22.43,23.869999999999997,0.0,1.0,63.8,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.7,先行列車が存在しCBTC信号に従いdelta_stop>0で加速しているため、減速フェーズでの力行は適切と判断し高評価とした。
407.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,18.38,22.0,80.0,31.1,18.15,12.950000000000003,0.0,1.0,66.0,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.7,先行列車が66m前方にあり信号速度22km/hに対し加速は間隔維持とブレーキ開始タイミングの確保に合理的であり、全項目で安全かつ適切と判断したため最高評価とした。
408.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,20.49,80.0,80.0,25.7,22.55,3.1499999999999986,0.0,1.0,67.5,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,1.0,0.5,先行列車がCBTC信号で加速許可され、delta_stopが正であるため加速は合理的であり、速度・信号遵守・停止位置・間隔・ノコギリ運転すべて問題なしと判断した。
596.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,60.51,61.7,70.0,212.6,174.32,38.28,0.0,1.0,212.6,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,1.0,0.3,先行列車が駅で停止しているためCBTC信号に従いブレーキ中で速度が信号速度内、ノコギリ運転なしと判断し高評価。
597.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,57.49,58.6,70.0,196.2,157.76,38.44,0.0,1.0,196.2,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,1.0,0.4,制限速度・CBTC信号を遵守し、先行列車の停止に合わせて適切にブレーキしているため、上位項目に問題なく評価し最高点とした。
599.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,51.46,52.5,70.0,165.9,127.17,38.730000000000004,0.0,1.0,165.9,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,1.0,0.5,先行列車が停止しているためCBTC信号に従いブレーキを開始し、速度・信号超過なく適切な減速と判断し高評価とした。
600.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,48.47,49.4,70.0,152.1,113.12,38.97999999999999,0.0,1.0,152.1,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,1.0,0.6,先行列車が停車中で信号速度に合わせて減速しており、速度・信号遵守・適切なブレーキで安全に停止できるため高評価。
789.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,54.49,55.3,70.0,196.2,159.01,37.19,0.0,1.0,196.2,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,1.0,0.6,先行列車が存在しCBTC信号に従い速度が信号と一致したままブレーキ中であり、即時0点条件もなくノコギリ運転もなく適切な減速操作と判断した。
790.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,51.8,52.5,70.0,181.5,144.1,37.400000000000006,0.0,1.0,181.5,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,1.0,0.7,先行列車が停止している状態でCBTC信号速度以下にブレーキしており、速度超過やノコギリ運転はなく、停止位置も確保できるため高評価とした。
795.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,38.49,39.0,70.0,118.8,80.68,38.11999999999999,0.0,1.0,118.8,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,1.0,0.7,先行列車が駅で停止しており、CBTC信号速度に合わせてブレーキ中で速度差±2km/h以内のため、適切な減速と判断し最高評価とした。
798.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,30.58,31.1,70.0,90.0,51.47,38.53,0.0,1.0,90.2,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,1.0,0.7,先行列車が近くCBTC信号に従い減速しており、速度・信号遵守・ノコギリ運転なしで安全に停止可能と判断し最高評価とした。
799.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,27.95,28.7,70.0,81.9,43.2,38.7,0.0,1.0,83.1,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,1.0,0.7,先行列車が83.1m前方に5.1km/hで走行し、CBTC信号28.7km/h以下の27.9km/hでブレーキ中。即時0点条件もなくノコギリ運転でもないため、全項目で安全かつ定時と判断しrewardは1.0とした。
800.0,T2,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,25.33,26.8,70.0,74.5,35.65,38.85,0.0,1.0,77.5,0.8〜1.0,先行列車接近中、信号速度に整合してブレーキ中 → 高評価,1.0,0.7,先行列車がCBTCで減速指示を出しており、速度は信号と一致し減速は適切なため高評価。
808.0,T2,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,21.74,70.0,70.0,28.1,25.39,2.710000000000001,0.0,1.0,69.9,0.8〜1.0,先行列車解放に伴う加速（適切）→ 高評価,0.8,0.5,先行列車がいるため加速は信号遵守上は許容されるが、駅まで残距離が短く不要な力行はエネルギー効率を低下させるため評価を減点した。
126.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,43.96499265765703,70.0,70.0,350.4805993761728,94.40611113772788,256.0744882384449,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.2,0.0,次駅減速フェーズで必要以上にブレーキをかけ、停止位置達成が遅れエネルギー損失を招くため低評価とした。
127.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,42.72609506643983,70.0,70.0,338.44196826199993,89.21743813763555,249.22453012436438,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.2,0.0,減速フェーズでdelta_stopが正のままブレーキをかけており、駅手前で停止してしまうため停止位置達成が不適切と判断した。
143.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,25.884571818014308,70.0,70.0,190.67758066474028,31.76192210057953,158.91565856416074,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.1,0.0,惰行から減速への短時間切替がノコギリ運転と判定され、減速開始が停止距離から遠くエネルギー無駄となるため低評価とした。
154.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,18.502249068309805,70.0,70.0,124.3342357792585,16.26973599333127,108.06449978592724,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.2,0.0,required_speed未達のままブレーキを開始し、不要な減速とノコギリ運転となったため低評価。
125.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,40.98612558279815,70.0,70.0,350.5610653129949,82.17094674753096,268.3901185654639,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.0,全ての上位評価項目で問題がなく、減速フェーズで必要速度を維持しつつエネルギー効率的に惰行しているため最高点とした。
128.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,38.16070030963112,70.0,70.0,317.3487324028628,71.3305958636497,246.01813653921312,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.1,0.0,次駅減速フェーズでdelta_stopが大きいのに早期ブレーキに切り替え、ノコギリ運転とエネルギー無駄が判定され上限0.3点以下に抑え0.1点とした。
129.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,36.93664276410138,70.0,70.0,306.9203148820527,66.8666369720442,240.0536779100085,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.2,0.0,ノコギリ運転（惰行→減速、保持時間2秒）とブレーキ開始が早すぎるためエネルギー無駄と評価し、上限0.3点を下回る0.2点とした。
140.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,28.784867205769817,70.0,70.0,207.77563730129245,40.7544656839234,167.02117161736905,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.2,0.0,ブレーキが必要距離よりはるか前に開始され、ノコギリ運転となってエネルギーと定時性が損なわれたため低評価とした。
141.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,27.58167900708348,70.0,70.0,199.9486777737048,37.43682853040919,162.51184924329561,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.0,制限速度・CBTC信号遵守、停止位置達成可能、減速フェーズでの惰行は適切であり、ノコギリ運転も認められないため最高評価とした。
142.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,27.24404747305723,70.0,70.0,192.3344780212801,35.167825951719095,157.166652069561,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.0,制限速度・信号遵守、減速フェーズでの惰行は適切であり、ノコギリ運転や不要な加速がなく、全項目で問題なしと判断した。
234.69999999999564,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0838289043207396,70.0,70.0,1.1998193551399083,0.0560757165326475,1.1437436386072608,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.0,次駅減速フェーズで適切にブレーキを開始し、delta_stopが1.14mで停止位置が確保できるため、評価は最高点とした。
235.0999999999956,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.8335694224980944,70.0,70.0,1.097245493955512,0.03317093206568,1.0640745618898322,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.0,ブレーキが適切に掛かり、delta_stopが2m以内で停止可能と判断され、他の評価項目に問題がないため高評価とした。
235.7999999999956,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.697136302519801,70.0,70.0,0.9737560411657852,0.0232017542582319,0.9505542869075533,0.0,0.0,2000.0,0.8〜1.0,ブレーキ中、|delta_stop|<=5m → 0.8〜1.0,1.0,0.0,ブレーキが適切に掛かり、delta_stopが0.95mで許容範囲内のため、減速フェーズの操作は安全かつ定時に問題なく評価した。
132.0,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,39.6289173964378,70.0,70.0,315.8220028935723,76.87049644729326,238.95150644627904,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.0,次駅減速フェーズでrequired_speedを維持し、適切に惰行しているため上位項目に問題なくrewardは1.0とした。
133.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,40.6042589416444,70.0,70.0,319.6621136350081,80.66221061413871,238.9999030208694,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.2,0.0,減速フェーズでまだ距離が十分あるのにブレーキをかけたため、定時性と省エネ性が著しく低下し不適切と判断した。
147.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,27.07269357326173,70.0,70.0,192.071828090306,34.729103257174515,157.3427248331315,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.1,0.0,ブレーキが停止距離に対して過早に開始され、必要速度未達のまま減速し、ノコギリ運転も判定されたため評価を最低に近づけた。
151.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,21.88161213659352,70.0,70.0,164.8699757878873,22.7302863266014,142.1396894612859,0.0,0.0,2000.0,0.1〜0.2,ブレーキ中、delta_stop>30m（大幅手前停止確実）→ 0.1〜0.2,0.2,0.0,ブレーキが必要距離前に開始され、保持時間が7秒未満で惰行から減速への不合理な切替があり、ノコギリ運転と判定されたため上限0.3点とし0.2点とした。
172.79999999999956,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,10.007793879945222,70.0,70.0,74.55329070408823,4.771631843692937,69.78165886039528,0.0,0.0,2000.0,0.1〜0.3,先行列車なし・低速（<25km/h）の惰行/力行（ちんたら運転）→ 0.1〜0.3,0.1,0.0,次駅減速フェーズで必要速度70km/hに対し10km/hの惰行を続けており、加速が必要なためフェーズ評価がNGとなり、定時性も損なうためrewardは0.1とした。
176.6999999999993,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,8.377535625140576,70.0,70.0,64.59751927859259,3.3450261981161287,61.252493080476455,0.0,0.0,2000.0,0.1〜0.3,先行列車なし・低速（<25km/h）の惰行/力行（ちんたら運転）→ 0.1〜0.3,0.1,0.0,次駅減速フェーズで必要速度70km/hに対し8.4km/hの惰行を続け、加速が必要なのに惰行のままで定時性とエネルギー効率が大きく欠如しているため低評価とした。
138.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.24,70.0,70.0,398.7,219.8,178.89999999999998,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.4,次駅減速フェーズでdelta_stopが正であり、加速はCBTC上限内で安全かつ停止位置は確保できるため、現在の力行は適切と判断した。
520.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.24,70.0,70.0,398.7,219.8,178.89999999999998,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.4,減速フェーズでdelta_stopが正で加速はCBTC内かつ安全で、速度・信号遵守、ノコギリ運転なし、エネルギー面でも過剰加速ではないため最高評価とした。
907.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.24,70.0,70.0,398.7,219.8,178.89999999999998,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.7,加速は残り距離と残り時間から定時到着に必須で、速度・CBTC制限を守っているため高評価とした。
1086.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,58.7,80.0,80.0,380.8,182.27,198.53,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,0.9,0.6,速度は制限・信号内で停止位置も十分確保でき、減速フェーズとして惰行は適切であり、ノコギリ運転や安全違反はなく定時性に余裕があるため高評価とした。
1088.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,58.29,80.0,80.0,348.3,179.82,168.48000000000002,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.6,制限速度・CBTC遵守、停止位置に余裕があり減速フェーズでブレーキ未実施は許容範囲、ノコギリ運転もなく全体的に適切な運転と判断した。
1089.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,58.09,80.0,80.0,332.1,178.6,153.50000000000003,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,0.9,0.6,減速フェーズで十分な停止距離があり、速度制限・CBTCを遵守し、ノコギリ運転もなく、エネルギー効率的に惰行しているため高評価とした。
1092.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,57.49,80.0,80.0,283.9,175.01,108.88999999999999,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,0.9,0.6,減速フェーズでdelta_stopが正でブレーキ未実施は適切で、速度も制限内かつ先行列車なしのため安全・定時性に問題なく高評価とした。
1094.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,57.09,80.0,80.0,252.1,172.65,79.44999999999999,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.6,減速フェーズでdelta_stopが正で安全に停止可能、速度・CBTC遵守、ノコギリ運転なしのため最高評価とした。
1095.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,56.89,80.0,80.0,236.3,171.48,64.82000000000002,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,0.9,0.6,次駅減速フェーズで速度は制限内かつCBTC遵守、ブレーキ開始が遅すぎずノコギリ運転もなく、エネルギー無駄もないため高評価。
1096.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,56.7,80.0,80.0,220.5,170.32,50.18000000000001,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,0.9,0.6,次駅減速フェーズでdelta_stopが正でブレーキ未実施は許容され、速度も制限内で安全・定時に問題なく、ノコギリ運転でもないため高評価とした。
1289.0,T1,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,67.24,70.0,70.0,398.7,219.8,178.89999999999998,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.7,次駅減速フェーズで加速はCBTC信号内かつ必要速度未達のため適切で、制限速度超過・ノコギリ運転なしと判断し1.0とした。
1475.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,58.46,70.0,70.0,349.9,180.84,169.05999999999997,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.6,減速フェーズでブレーキ未実施かつ停止距離に余裕があり、速度制限・CBTC遵守、ノコギリ運転なしで安全に減速できるため高評価。
1480.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,57.46,70.0,70.0,269.4,174.82,94.57999999999998,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.6,即時0点要因がなく、速度・信号遵守、停止位置も確保できており、減速フェーズでの惰行は適切です。
1481.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,57.26,70.0,70.0,253.5,173.63,79.87,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,0.9,0.6,制限速度・信号速度を遵守し、停止位置まで十分な余裕があるため惰行は適切。ノコギリ運転や不要な力行もなく安全かつ省エネと判断した。
1482.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,57.06,70.0,70.0,237.6,172.46,65.13999999999999,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.6,次駅減速フェーズでdelta_stopが正であり、速度は制限・信号内、惰行は適切でノコギリ運転や無駄な力行がなく停止位置も確保できるため最高評価とした。
1483.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,56.86,70.0,70.0,221.8,171.29,50.51000000000002,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.6,速度・信号・停止位置すべて遵守し、ノコギリ運転や安全違反がなく、次駅への減速も適切に行えるため最高評価とした。
1484.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,56.66,70.0,70.0,206.0,170.13,35.870000000000005,0.0,0.0,2000.0,0.8〜1.0,ブレーキなし、delta_stop>=0m → 高評価,1.0,0.6,制限速度・CBTCを遵守し、停止位置は確保でき、減速フェーズでの惰行は適切でノコギリ運転もなく高評価とした。
